stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,xanthophores
  3-4,0,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,116.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,13.14,0,0,5.26,0,0,15.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.12,0,0,0,28.92,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,12.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.41,9.44,0,0,22.03,0,0,6.29,0,0,0,0,0,0
 14-21,0,0,0,1,14,4,5,0,0,2,1,1,0,0,0,0,0,0,6,0,4,51,2,2,1,1,0,7,1,1,15,30,0,0,0
 24-34,0,0,0,0,4.1,0,1.64,0,1.64,0,0.82,0.82,0.82,0.82,0,0,0,0,2.46,0.82,2.46,45.97,0,1.64,1.64,0,5.75,0,0.82,0,0.82,15.6,0,1.64,0
 36-46,0,0,0,0,0.81,0,7.25,0.81,0,1.61,0,0,0,0,0,0,0.81,1.61,0.81,0,0.81,21.75,0,4.03,1.61,0,8.86,0,0,0.81,0,7.25,0,0.81,0.81
 48-58,0,0,0,0,0.57,0,5.74,0.57,0,0.57,0,0.57,0,1.15,0,0,0,0,1.15,0,0,9.75,0.57,0.57,0,0,4.02,0,0,0,0,3.44,0,0,0
 60-70,0,0,0,0,0.98,0,10.8,0.98,1.96,0,0.98,0.98,0,0,0,0,0,0,0.98,0,0,29.45,0,0,0,0,3.93,0,0,0,0,3.93,0,0,0
 72-82,0,0,0.98,0,0.98,0,13.74,0,0,4.91,2.94,0.98,0,0.98,0,0,1.96,0,1.96,0,0.98,18.65,0,0.98,0.98,0,4.91,0,0,0,0,0.98,0,0.98,0
 84-94,0,0,0,0,0,2.12,9.56,0,0,3.19,0,0,2.12,1.06,0,1.06,0,0,3.19,0,0,13.81,0,1.06,0,0,3.19,0,1.06,0,0,2.12,1.06,1.06,0
 96-106,0,0,0,0,2.19,0,3.28,0,0,2.19,0,0,1.09,1.09,1.09,0,0,0,1.09,0,1.09,3.28,0,0,2.19,0,2.19,0,0,0,0,0,0,0,0
108-118,0,0,0,0,4.6,0.77,3.06,0,1.53,0,1.53,0,0.77,0,0,0,0,0,0.77,0,0.77,6.13,0,0.77,0,0,10.72,0,0,0,0,0.77,0.77,0,0
120,0,0,0,0,1.96,1.96,3.92,0,0,0,1.96,0,1.96,0,0,0,0,0,0,0,1.96,5.88,0,0,0,0,3.92,0,0,0,0,1.96,0,0,0
