stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,395.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,18.39,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,2.63,0,0,28.92,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,147.21,2.63,0,0,60.46,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,12.59,0,3.15,12.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135.32,3.15,0,0,44.06,0,0,0,0,9.44,0,0,0,0,0,0,0
 14-21,0,0,0,0,7,2,6,0,0,2,1,0,0,0,0,0,0,0,0,12,0,1,94,0,0,2,1,0,0,0,10,1,4,43,0,0,0,0,0
 24-34,0,0,0,0.82,2.46,0,14.78,0,0,0.82,0,0,1.64,0,0.82,0,0,0,0,15.6,0,4.1,130.52,0,0.82,0.82,0,0,3.28,0,0,0,2.46,26.27,0,0,3.28,0,0
 36-46,0,0,0,0,0.81,0,31.42,0,0,8.06,0,0,0,0,0,0,0,0,0,12.89,0,2.42,119.24,0,0.81,0.81,0,0,0.81,0,0,0,0,30.62,0,0,0.81,0,0
 48-58,0,0,0,0,0.57,0,36.15,0.57,0,13.2,0,0,0.57,0,0,0.57,0,0,0,18.94,0,1.15,92.38,0,0.57,0.57,0,0,3.44,0,0,0,0,20.08,0,0.57,0.57,0,0.57
 60-70,0,0,0.98,0,3.93,0,28.46,0,0,6.87,0,0,0.98,0,0.98,0,0.98,0,0,12.76,0.98,1.96,42.21,0,0,0.98,0,0.98,2.94,0,0,0,0,5.89,0,0,0.98,0,0
 72-82,0,0,0,0,4.91,0,28.47,0,0.98,11.78,0,0,0,0,0,0,0.98,0,0,32.39,0.98,3.93,53.01,1.96,1.96,2.94,0,0,0.98,0,0,0,0,6.87,0.98,0.98,0.98,0,0.98
 84-94,0,0,1.06,0,3.19,0,15.93,0,0,4.25,0,0,0,0,0,0,1.06,0,0,22.3,1.06,5.31,31.86,2.12,2.12,0,0,0,4.25,0,0,0,0,2.12,0,0,1.06,0,0
 96-106,0,0,0,0,3.28,0,16.39,1.09,0,9.84,3.28,0,1.09,2.19,0,0,3.28,0,0,14.21,0,2.19,31.69,0,1.09,0,0,0,6.56,1.09,0,0,0,1.09,1.09,1.09,2.19,1.09,0
108-118,0,0,0.77,0,6.89,0,13.79,0.77,0,8.43,2.3,0,0,1.53,0,0,1.53,0,0.77,19.15,0,3.83,40.6,0,0.77,1.53,0,0,2.3,0,0,0,0,2.3,0,0,1.53,0,0
120,0,0,0,0,9.8,0,13.72,1.96,1.96,5.88,0,0,0,3.92,0,0,0,1.96,0,3.92,0,3.92,50.95,0,3.92,0,0,1.96,0,0,0,0,0,1.96,0,0,0,0,0
