stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,52.71,1146.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.71,0,0,0,0,0,0,0,0,0
  5-6,67.43,907.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.04,6.13,0,0,24.52,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,15.77,15.77,0,26.29,0,0,0,42.06,0,0,0,0,21.03,0,0,0,0,0,0,0,0,0,0,0,507.34,18.4,0,0,168.24,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,18.88,0,0,0,53.5,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,434.28,18.88,0,0,182.52,0,0,0,0,18.88,0,6.29,0,0,0,0
 14-21,0,0,0,0,11,2,0,5,0,0,2,0,0,0,0,0,0,0,0,0,9,0,0,5,89,1,1,0,4,0,2,0,14,0,1,7,25,0,0,0
 24-34,0,0,0,0,3.28,0,0,15.6,0,0,4.93,0,0,0.82,0,0,0,0,0,0,18.06,0,0,5.75,109.17,0,0.82,1.64,0,0,1.64,0,0,0.82,0,3.28,33.66,0.82,0,0.82
 36-46,0,0,0,0,2.42,0,0,30.62,0,1.61,2.42,0,0,0.81,0.81,0.81,0.81,0,0,0,13.7,0,0.81,1.61,94.26,0.81,0.81,1.61,0,0,2.42,0,0,0.81,0,0,24.17,2.42,0,0
 48-58,0,0,0,0,0.57,0.57,0,40.74,0.57,0,4.59,0,0,0.57,0,0.57,0.57,0,0,0,12.05,0,0.57,2.87,87.79,0.57,0.57,1.72,0,0,2.87,0,0,0,0,0,16.64,0.57,0,0
 60-70,0,0,0,0,2.94,0.98,0,25.52,0,0,5.89,0.98,0,0.98,0,0.98,0,0.98,0,0,20.61,0,0,1.96,78.52,0,0,0.98,0,0,0.98,0,0,0,0,0,7.85,0,0,0.98
 72-82,0,0,0,0,1.96,3.93,0,35.34,0,1.96,7.85,0,0,0,0.98,0.98,0.98,0,0,0,22.58,0,1.96,3.93,81.48,0,0,0.98,0,0,1.96,0,0,0.98,0,0,4.91,1.96,0.98,0
 84-94,0,0,0,0,3.19,2.12,0,28.68,0,0,7.43,1.06,1.06,0,2.12,1.06,0,1.06,0,0,22.3,0,1.06,2.12,55.23,0,0,0,0,1.06,7.43,0,0,0,0,0,4.25,3.19,0,0
 96-106,0,0,0,0,7.65,3.28,0,22.95,0,2.19,10.93,0,0,0,1.09,2.19,0,1.09,0,0,16.39,1.09,2.19,0,50.27,0,0,2.19,0,1.09,1.09,0,0,0,0,0,0,1.09,1.09,0
108-118,0,0,0.77,0,3.06,1.53,0.77,16.09,0,1.53,5.36,3.83,0,0,0.77,0.77,0.77,0,0.77,0.77,16.85,0,1.53,3.06,45.19,0,1.53,0,0,0,5.36,0,0,0,0,0,1.53,1.53,0.77,0
120,0,0,0,1.96,3.92,1.96,0,17.64,1.96,0,5.88,5.88,0,0,3.92,0,0,0,0,0,7.84,0,0,1.96,37.24,1.96,3.92,0,0,1.96,1.96,0,0,0,0,0,3.92,3.92,0,0
