stage,axial,blastomeres,epidermis,eye,heart,immune,mesenchyme,neural,notochord,paraxial_mesoderm,somites,spinal_cord,vasculature,xanthophores
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,5.26,0,13.14,0,0,0,0
 10-12,0,0,0,0,0,0,0,9.44,0,3.15,0,0,0,0
 14-21,0,0,0,0,0,0,2,3,11,0,1,0,0,0
 24-34,0,0,0.82,0.82,0.82,0,0.82,3.28,3.28,0,0,0,0,0
 36-46,0,0,0,0,1.61,0,1.61,0,1.61,0,0,0.81,0.81,0
 48-58,0,0,0,0,0,0,0,2.87,1.72,0,0,0.57,0,0
 60-70,0,0,0.98,1.96,0,0,0,2.94,2.94,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,3.93,2.94,0,0,0,0,0
 84-94,0,0,0,2.12,0,0,0,0,1.06,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,1.09,2.19,0,0,1.09,0,0
108-118,0,0,0,0,0,0.77,0,0.77,2.3,0,0,0,0,0.77
