stage,axial,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0
  5-6,0,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,0,18.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.09,0,0,0,7.89,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,22.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.06,3.15,0,0,22.03,0,0,0,0,0,0,0,0
 14-21,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,26,0,0,1,1,0,2,0,6,0,0,0,0
 24-34,0,0,1.64,0,4.1,0,0,0.82,1.64,0,0,0,0.82,0,0,0,0.82,0,0,2.46,77.16,1.64,1.64,0,0,3.28,0,0,18.06,0,0,2.46,0
 36-46,0,0,1.61,0,6.45,0,0,0,1.61,0,0,0,0,0,0,0.81,2.42,0,0,0.81,52.37,4.83,0,0,0,5.64,0,0,13.7,0,0,0.81,0
 48-58,0,0,2.3,0,5.16,0.57,0.57,0.57,5.16,0,0,0,0,0,0,0,4.02,0,0.57,1.15,21.23,1.72,0,0,0,1.15,0,0,5.74,0,0,0,0
 60-70,0,0,2.94,0,12.76,0.98,1.96,0,4.91,2.94,0,0,0.98,0,0,2.94,0.98,0,0,0,21.59,0,0,0,0,1.96,0,0.98,3.93,0.98,0,0.98,0
 72-82,0,0,5.89,0,33.38,0,0,0,6.87,1.96,0,0,0,0,0,0.98,19.63,0,0.98,0.98,53.01,0,0.98,0,0,7.85,0,0,5.89,0,1.96,3.93,1.96
 84-94,0,0,2.12,0,11.68,0,3.19,0,2.12,3.19,0,0,0,0,0,0,5.31,0,1.06,0,16.99,1.06,0,1.06,0,8.5,0,0,4.25,0,0,1.06,0
 96-106,0,0,1.09,0,8.74,0,0,0,4.37,2.19,0,1.09,0,0,1.09,0,8.74,2.19,0,2.19,6.56,2.19,0,0,0,4.37,0,0,0,0,0,0,0
108-118,0,0,1.53,0,7.66,0,2.3,0.77,2.3,0,0.77,0,0.77,0.77,0,2.3,6.13,0,0,0.77,13.79,3.06,0,0.77,0,3.83,0,0,0.77,0,0,1.53,0.77
120,0,0,0,0,13.72,0,3.92,0,1.96,0,0,1.96,0,0,1.96,0,1.96,0,1.96,0,31.36,0,1.96,0,0,5.88,0,0,7.84,0,0,7.84,3.92
