stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,gut,heart,ionocyte,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,vasculature,visceral.smooth.muscle
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,9.44,0,0,0,0,3.15,0,0,0
 14-21,0,0,1,6,3,0,0,0,3,1,0,0,2,0,8,13,2,0,0,1,0,1,4,3,69,12,0,0
 24-34,0,0,2.46,0.82,0,1.64,0,0,8.21,0,0,0,6.57,0,1.64,13.95,0,0,0.82,0,0,0.82,0.82,0.82,4.93,5.75,4.93,0
 36-46,0,0,0,1.61,0,0,0,0,7.25,0,0,0,7.25,1.61,0.81,5.64,0,0.81,0,0,0,0,0,0,0,3.22,3.22,0
 48-58,0,0,0,0.57,0,2.3,0.57,0,6.89,0,0,0,5.16,0,2.87,1.72,0,0,0,0,0,0,0,0,0,0,1.72,0
 60-70,0,0,0,0,0,3.93,0,0.98,1.96,0,1.96,0,10.8,0,1.96,0.98,0,0,0,0,0.98,0,0,0.98,0,0,2.94,0.98
 72-82,0,0,0,0,0.98,2.94,0,2.94,1.96,0,1.96,0,11.78,2.94,0,2.94,0,0,0,0,0,0,0,0,0,0.98,2.94,0
 84-94,0,0,0,1.06,0,1.06,0,1.06,4.25,0,2.12,1.06,8.5,4.25,1.06,3.19,0,0,0,0,0,0,0,0,0,2.12,9.56,1.06
 96-106,0,0,0,0,0,1.09,0,0,1.09,0,1.09,0,6.56,2.19,2.19,3.28,0,0,0,0,0,0,0,0,0,0,2.19,0
108-118,0,0,0,0,0,0.77,0,0.77,3.06,0,0,0,3.06,2.3,0,3.83,0,0,0.77,0,0,0,0,0,0,0,5.36,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0
