stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,39.53,1014.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,245.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.77,2.63,0,0,7.89,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151.05,3.15,0,0,15.73,0,0,0,0,6.29,0,0,0,0,0,0,0,0
 14-21,0,0,1,793,24,0,1,0,0,0,0,8,1,12,0,2,0,0,0,2,79,2,0,26,31,2,0,8,10,0,0,1,4,13,104,19,17,0,0,6,0,1
 24-34,0,0,0.82,227.38,2.46,0,3.28,0.82,3.28,9.85,0,1.64,0,12.31,0,0.82,2.46,0.82,0.82,1.64,219.99,2.46,0.82,64.85,94.4,2.46,0,1.64,0,0.82,0,0,0,1.64,16.42,32.01,9.03,0,0,27.91,0,4.1
 36-46,0,0,0,78.96,0,0,4.83,0,10.47,16.11,3.22,0,0,8.86,0,0,2.42,0,0.81,1.61,379.47,0,11.28,107.15,55.59,1.61,0.81,4.83,0,3.22,0,0,0,0.81,7.25,1.61,8.86,0,0,11.28,0,0.81
 48-58,0,0,0,53.36,0,0,10.9,1.15,6.89,19.51,1.72,0,0,4.02,0,0,0.57,0,1.15,2.3,547.41,0.57,18.94,87.22,56.81,1.72,0,1.15,0,3.44,0,0,0,0.57,0.57,0,7.46,0,1.72,6.31,0,1.15
 60-70,0,0,0,39.26,0.98,0,8.83,0,7.85,24.54,5.89,0,0,5.89,0,0.98,0.98,0,0,1.96,665.47,2.94,21.59,49.08,45.15,0,0,3.93,0,3.93,0,0,0,0,0.98,0,2.94,0,13.74,12.76,14.72,2.94
 72-82,0,0,0,51.05,0.98,0,39.27,1.96,2.94,36.32,14.72,0,0,5.89,0,0,1.96,1.96,0.98,2.94,879.57,0,40.25,81.48,62.83,0,0,6.87,0,0,0,0,0,2.94,0,0,3.93,0.98,16.69,32.39,36.32,1.96
 84-94,0,0,0,87.09,0,0,56.29,1.06,6.37,26.55,6.37,1.06,0,8.5,0,0,1.06,3.19,0,9.56,535.27,1.06,33.99,42.48,38.23,1.06,0,8.5,0,0,1.06,1.06,0,4.25,0,0,0,0,15.93,31.86,32.92,1.06
 96-106,0,0,0,54.64,1.09,0,49.18,1.09,3.28,19.67,9.84,0,0,8.74,1.09,0,2.19,0,0,1.09,477.57,0,28.41,43.71,56.83,0,1.09,4.37,0,3.28,0,0,0,2.19,0,0,1.09,0,19.67,41.53,67.76,6.56
108-118,0,0,0,48.26,0.77,0.77,29.11,0,2.3,15.32,8.43,0,0,3.83,0.77,1.53,3.06,1.53,0.77,4.6,427.41,0.77,22.21,26.04,40.6,0.77,0,8.43,0,0,2.3,0,0,2.3,0,0,0.77,0.77,16.85,39.83,29.87,1.53
120,0,0,0,33.32,0,0,19.6,0,1.96,5.88,5.88,1.96,0,1.96,0,0,1.96,0,0,7.84,368.44,0,17.64,19.6,35.28,0,0,7.84,0,7.84,0,0,0,0,0,0,0,0,13.72,39.2,48.99,0
