stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,237.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,128.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,5.26,0,26.29,0,0,0,7.89,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,84.12,13.14,0,0,63.09,0,0,7.89,0,0,0,0,0,0,0,0,0
 10-12,0,22.03,0,28.32,0,0,0,34.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,365.05,44.06,0,0,182.52,0,0,0,0,37.76,0,0,3.15,0,0,0,0
 14-21,0,0,0,1,17,8,0,4,0,0,72,1,0,0,0,0,0,0,20,0,0,5,185,3,4,33,29,0,0,0,26,103,0,4,276,0,1,0,0
 24-34,0,0,0.82,0,5.75,0,0,8.21,0,0.82,74.7,0,0,0,0,0,2.46,0.82,9.85,0,0,2.46,142.01,0.82,28.73,5.75,0,0,0,0,0,29.55,0,8.21,192.9,0,0,0,0
 36-46,0,0,0,0,2.42,0,0,4.03,0,0.81,51.56,0,0,0,0,0,0,0,6.45,0,0,3.22,136.16,1.61,29,1.61,0,0,1.61,0,0,17.72,0,0,109.57,0,0,0,0
 48-58,0,0,0,0,1.15,0,0,9.75,0.57,0.57,33.28,0,0,0.57,0,0,0,0.57,7.46,0,1.72,0,80.33,0,20.66,1.72,0,0.57,0,0,0,4.59,0,0,77.46,0,0,0,0
 60-70,0,0,0.98,0,0.98,0,0,9.82,0,0.98,14.72,0,0,0,0,0,1.96,0,6.87,0.98,0,0,52.02,0,11.78,2.94,0,0,0,0,0,0.98,0.98,0,31.41,0.98,0,0,0.98
 72-82,0,0,0.98,0,1.96,0,0,11.78,0,0.98,27.49,0.98,0,0,0,0,0.98,0,6.87,0,0.98,0,54.97,0,21.6,5.89,0,0.98,0,0,0,1.96,0.98,0,13.74,0,0,1.96,0
 84-94,0,0,2.12,1.06,3.19,0,1.06,15.93,0,0,22.3,1.06,0,1.06,0,0,6.37,0,4.25,0,0,0,40.36,0,27.61,13.81,0,0,2.12,0,0,2.12,0,0,22.3,0,0,0,0
 96-106,0,0,0,1.09,3.28,0,0,9.84,0,0,16.39,4.37,0,0,1.09,0,9.84,0,7.65,0,0,0,33.88,0,40.44,19.67,0,0,3.28,0,0,3.28,0,0,12.02,0,0,3.28,0
108-118,0,0,0.77,2.3,0.77,0,0,9.96,0,0,20.68,0.77,0,0,0,0.77,4.6,0,4.6,0,1.53,0.77,41.36,0,26.04,13.02,0,0.77,2.3,0,0,5.36,0,0,8.43,0,0,0.77,0
120,0,0,0,0,1.96,1.96,0,9.8,0,0,3.92,0,0,0,0,0,9.8,0,7.84,0,1.96,1.96,47.03,0,17.64,11.76,0,0,0,0,0,0,0,0,11.76,0,0,1.96,0
