stage,blastomeres,endocrine.pancreas,endoderm,epidermis,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,pericytes,periderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,18.88,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,4,0,0,1,0,0
 24-34,0,0,0,4.93,0.82,0.82,0,0,0,0,0,0,0,0.82,0,0,0.82,0.82,0,0,0,0,2.46,0,0,0,0,0,1.64,0,0,1.64,0,0
 36-46,0,0,0,0,0.81,0,0,0,0.81,0,0,0.81,0,0,0.81,0.81,0,4.83,0,0,4.03,0.81,4.03,0,0.81,0.81,0,0,0,0,0,0,0.81,2.42
 48-58,0,0,0,0,0,0,0.57,0,0.57,0,0,0.57,0,0,0.57,1.15,1.15,5.74,0,0,1.15,0,1.15,0.57,0,0.57,0,0,0.57,0,0,1.15,0,1.72
 60-70,0,0,0,3.93,1.96,0,0,0.98,0,0.98,0,0,0,0,0.98,0,0,11.78,0,0,1.96,0,1.96,0,0,1.96,0,0,0,0,0,1.96,0,0
 72-82,0,0,0,0,3.93,0,0.98,0.98,1.96,0,0,1.96,0.98,0,1.96,0.98,1.96,21.6,0.98,1.96,2.94,3.93,1.96,0,0,0,0,0,0,0,0,2.94,0.98,0
 84-94,0,0,0,5.31,0,0,0,2.12,2.12,2.12,0,0,1.06,0,2.12,0,2.12,7.43,1.06,0,2.12,0,1.06,0,0,5.31,1.06,0,0,1.06,0,2.12,0,0
 96-106,0,0,0,6.56,3.28,0,1.09,0,3.28,3.28,0,0,1.09,1.09,1.09,0,2.19,10.93,0,1.09,2.19,3.28,1.09,0,1.09,12.02,0,0,0,1.09,0,1.09,0,2.19
108-118,0,0,0,11.49,1.53,0,1.53,0,0,0.77,0,0.77,3.06,0,2.3,0,2.3,1.53,0,0,0.77,5.36,0.77,0.77,1.53,1.53,0,0,0,0,0,0.77,0.77,1.53
120,0,1.96,0,3.92,1.96,0,3.92,0,1.96,1.96,0,0,3.92,0,1.96,0,1.96,7.84,0,1.96,0,1.96,1.96,0,0,13.72,0,0,0,0,1.96,0,0,0
