stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,9.44,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,4,3,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,5,0,0,0,0,0
 24-34,0,0,0,3.28,0,0,0,0,0,0,0,0,2.46,0,0,0,8.21,0,0,0.82,0,0,4.1,0,0.82,1.64,0,0,0,0,0,0,0.82,0,0,1.64,0,0,0.82,0,0
 36-46,0,0,0.81,0.81,0,0,0,0,0,0,0,0,0,0,0,0,5.64,0,0,2.42,0,0.81,0,0,0,0,0,0,0,0,0,0,1.61,0,0,0.81,0,0,0,0,0
 48-58,0,0,0.57,0,0,0,0,0.57,0,0,0,0.57,0.57,0,0,0,0.57,0,0,0,0,0,0,0,0,3.44,0,0,0,0,0,0,0,0,0,0.57,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,0,0,0.98,0,0,0,0,0,0,0,12.76,0,0.98,0,0.98,0,2.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0.98,0,4.91,5.89,0,19.63,0,0,0,10.8,0,0,0,0.98,2.94,0.98,0,143.32,0,20.61,1.96,0,0.98,66.75,0,0,0.98,0.98,0,0,0.98,0,0,5.89,0.98,0,2.94,0,1.96
 84-94,0,0,0,0,5.31,4.25,4.25,19.12,0,0,1.06,6.37,1.06,0,0,3.19,3.19,0,1.06,499.16,0,16.99,0,0,2.12,66.91,0,0,0,0,5.31,0,0,0,0,2.12,0,0,1.06,1.06,2.12
 96-106,0,0,2.19,0,40.44,32.79,9.84,138.79,5.46,9.84,6.56,49.18,9.84,0,6.56,21.86,7.65,7.65,5.46,807.61,0,106.01,7.65,3.28,13.11,306,3.28,6.56,6.56,4.37,68.85,2.19,0,1.09,0,9.84,5.46,2.19,25.14,5.46,3.28
108-118,0,0,2.3,0,31.4,16.09,7.66,111.06,0,10.72,8.43,37.53,9.19,0,1.53,8.43,5.36,8.43,2.3,1554.14,1.53,98.81,0.77,4.6,13.02,319.41,3.83,9.96,8.43,2.3,43.66,0,2.3,2.3,0,8.43,2.3,2.3,20.68,1.53,3.06
120,0,0,1.96,0,23.52,7.84,5.88,64.67,1.96,3.92,3.92,31.36,3.92,0,0,7.84,1.96,3.92,7.84,864.27,0,56.83,0,1.96,1.96,241.05,7.84,1.96,1.96,0,21.56,0,0,0,0,9.8,3.92,1.96,3.92,5.88,0
