stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,6.29,6.29,0,0,0,0,0,0
 14-21,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,5,0,0
 24-34,0,0,0,0.82,0.82,0,31.19,0,0,0,0,0,0,0,3.28,0,0,0,0,0,0,0,0,1.64,70.59,3.28,1.64,0,0,0,0,4.93,0,0,23.8,0,0
 36-46,0,0,0,0.81,0,0,43.51,0.81,0.81,0,0.81,0,0.81,0,0,0,0,0,0,0,5.64,0.81,0,0,436.67,2.42,4.03,0,0,1.61,0,59.62,0,0,18.53,0,0
 48-58,0,0,0,0.57,0,0,99.84,0,1.15,1.15,7.46,0,1.15,0,0.57,0.57,0.57,0,0,0,4.02,0,0.57,0.57,465.36,0,4.59,0,0,1.15,0,109.02,0,0,9.18,0,0.57
 60-70,0,0,0,3.93,0,0,598.73,0,0,0,6.87,0,0.98,0.98,1.96,0,0,0,0,0,4.91,0.98,0.98,0,494.69,0,3.93,2.94,0,0,0,184.53,0,0,11.78,0.98,0
 72-82,0,0,0,9.82,1.96,0,1085.72,0.98,0,0.98,20.61,2.94,0,0.98,4.91,0,0,0,0,0,21.6,0,0.98,1.96,352.42,0,11.78,0.98,0,0.98,0,151.18,2.94,0,38.28,0.98,0.98
 84-94,0,0,0,10.62,6.37,0,901.67,0,1.06,1.06,15.93,0,1.06,0,2.12,1.06,2.12,3.19,0,1.06,21.24,0,1.06,2.12,219.84,3.19,9.56,1.06,0,3.19,0,82.84,1.06,1.06,24.43,0,1.06
 96-106,0,0,0,8.74,6.56,1.09,781.39,1.09,2.19,0,8.74,3.28,0,0,10.93,0,2.19,0,3.28,1.09,26.23,0,2.19,2.19,195.62,0,16.39,5.46,1.09,2.19,0,29.51,3.28,0,28.41,1.09,1.09
108-118,0,0,0.77,6.13,5.36,2.3,624.26,0,1.53,0.77,13.02,0.77,0,1.53,9.19,0.77,4.6,0.77,0.77,0.77,10.72,0.77,0,1.53,202.98,0,16.09,2.3,1.53,3.06,0,25.28,4.6,1.53,26.81,0,2.3
120,0,0,1.96,11.76,5.88,0,544.82,0,1.96,0,5.88,0,0,0,9.8,0,1.96,1.96,0,0,21.56,0,0,0,141.1,0,3.92,3.92,0,3.92,0,15.68,3.92,0,27.44,0,1.96
