stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,171.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,24.52,239.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,10.51,2.63,2.63,0,0,0,7.89,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,118.29,0,0,0,42.06,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.65,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,7,0,0,7,0,0,0,1,0,0,0,0,0,0,0,0,7,0,1,44,0,0,0,1,0,3,4,0,9,12,0,0,0,0,0
 24-34,0,0,0,0.82,0.82,0,7.39,0,0,0,1.64,0.82,0,0,0,0,0.82,0,0,7.39,0,4.1,65.67,0.82,0.82,0,0,0,0,0,0,0,13.95,0,0,1.64,0,0
 36-46,0,0,0,0.81,0,0,20.95,0,0,0,3.22,0,0,0,0,0,0,0,0.81,8.06,0,0,68.48,0,1.61,0.81,0,0.81,1.61,0,0,0,15.31,0,0,0.81,0,0
 48-58,0,0,0,0.57,0,0,29.84,0,0.57,0,5.74,0,0,0,0,0,0.57,0,0,8.61,0.57,1.72,50.49,0,0.57,0,0,0,0,0,0,0,14.92,0,0,1.15,0,0.57
 60-70,0,0,0,0.98,0.98,0,41.22,0,0,0.98,8.83,0.98,0,0,0,0.98,0,0,0,4.91,0,0.98,59.87,0,1.96,0.98,0,0,1.96,0,0,0,6.87,0,0,0,0,0
 72-82,0,0,0,0,1.96,0,29.45,0,0.98,0.98,14.72,0.98,0,0,0,0,0.98,0,0,23.56,0,1.96,51.05,0,1.96,0.98,0,0.98,5.89,0,0,0,1.96,0.98,0,0.98,0.98,0.98
 84-94,0,0,0,1.06,0,0,19.12,0,1.06,1.06,4.25,0,0,2.12,1.06,0,1.06,0,0,2.12,1.06,3.19,20.18,0,0,2.12,0,0,6.37,0,0,0,4.25,0,0,2.12,0,1.06
 96-106,0,0,0,2.19,2.19,0,7.65,0,1.09,0,5.46,0,0,0,0,1.09,0,1.09,0,10.93,0,2.19,15.3,0,0,1.09,0,0,6.56,0,0,0,1.09,0,2.19,2.19,0,0
108-118,0,0,0,4.6,0.77,0.77,6.89,0.77,0.77,0.77,4.6,1.53,0,1.53,0,1.53,0,0.77,0,6.13,0,0.77,21.45,0,1.53,0,0,0,2.3,0,0.77,0,0,0,0.77,0.77,0,0
120,0,0,0,0,0,0,11.76,0,1.96,0,0,0,0,0,0,0,1.96,0,0,3.92,0,0,19.6,0,0,3.92,0,0,3.92,0,0,0,3.92,0,0,3.92,0,0
