stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,0,0,0,22.03,0,0,0,0,0,6.29,0,0,0,0,0
 14-21,0,2,1,3,9,26,0,0,0,3,0,1,0,0,0,0,1,4,0,0,22,79,5,0,1,0,0,0,13,2,5,96,20,0,2,0,0
 24-34,0,0,0,0,0,15.6,0,0,0,0.82,0,0.82,0,0,0,0,0,30.37,0,0,37.76,87.01,5.75,1.64,2.46,0,0,0.82,0,0,0,6.57,19.7,0,4.93,0,0
 36-46,0,0,0,0,0,9.67,0,0,0,2.42,0,0.81,0,0,0,0,0,45.92,0.81,0,26.59,38.67,4.83,0,0,0,0,1.61,1.61,0,0,0,3.22,0,4.03,0,0
 48-58,0,0,0,0,0,18.36,0,0,1.72,2.87,0,0.57,0,0,0,0,0,65.41,0,0,20.66,25.82,1.15,0,1.15,0,0,1.15,0,0.57,0,0,1.72,0,2.87,0,0.57
 60-70,0,0,0,0.98,0,157.04,0.98,0,0,3.93,0,0.98,0.98,0,0,0,0,93.24,0,0,12.76,23.56,0,0,0.98,0,0,0,0,0,0,0,0.98,1.96,8.83,0.98,0
 72-82,0,0,0,0.98,0.98,404.44,0,0,0.98,2.94,0,6.87,0,0.98,0,0,0.98,140.38,0,2.94,18.65,34.36,0,0,2.94,0,0.98,0,0,0,0,0,0.98,0.98,22.58,0.98,0
 84-94,0,0,0,0,1.06,285.69,2.12,0,1.06,2.12,0,1.06,0,3.19,0,0,0,80.71,0,1.06,12.74,19.12,0,0,3.19,0,0,1.06,0,0,0,0,0,0,14.87,1.06,0
 96-106,0,0,0,1.09,0,209.83,1.09,0,1.09,6.56,0,4.37,3.28,0,1.09,0,0,64.48,0,0,10.93,17.49,1.09,0,5.46,0,2.19,1.09,0,0,0,0,0,1.09,27.32,1.09,0
108-118,0,0,0,0.77,0.77,138.64,1.53,2.3,2.3,2.3,0.77,2.3,2.3,6.13,0,0.77,0,55.15,0.77,2.3,13.02,26.81,1.53,0,3.83,0,1.53,0.77,0,0,0,0,0.77,1.53,20.68,0,0
120,0,0,0,1.96,0,135.23,1.96,0,0,7.84,0,3.92,0,0,0,0,0,45.08,1.96,3.92,9.8,25.48,0,0,1.96,0,0,0,0,0,0,0,0,0,7.84,3.92,0
