stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,39.53,250.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0
  5-6,6.13,140.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,2.63,0,0,0,2.63,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,2,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,1,2,0,0,0,0
 24-34,0,0,0,0,1.64,0,4.1,0.82,0,0.82,0,0,0,0.82,0,0,0,2.46,0,0,0,27.91,1.64,0.82,0,0,4.93,0,0,0,0,5.75,0,1.64,0,0.82
 36-46,0,0,0,0,0.81,0,8.06,0.81,0,0,0,0,0.81,0,0,0,0.81,3.22,0.81,0,3.22,36.26,0.81,0.81,0.81,0,4.83,0,0,0,0,11.28,0,0,0,0
 48-58,0,0,0,0,0.57,0,14.92,1.15,0,5.16,0,0,0,0,0,0,0,7.46,1.72,0,1.15,40.17,0,0.57,0,0,1.72,0,0,0,0,9.18,0,0.57,0,0.57
 60-70,0,0,0,0,1.96,0,17.67,0.98,0,1.96,0.98,0,0,0,0,0,0,8.83,0,0,0,30.43,0,0,0,0,0.98,0,0,0,0,3.93,0,0,0,0
 72-82,0,0,0.98,0,2.94,0,31.41,0,0,6.87,0.98,0,0,0,0.98,0,0,13.74,0,0,0,38.28,0,0.98,0,0,0.98,0,0,0,0,2.94,0,0,0.98,0.98
 84-94,0,0,2.12,1.06,2.12,1.06,14.87,0,1.06,2.12,0,0,0,1.06,0,0,0,6.37,0,0,0,10.62,0,0,1.06,0,3.19,0,0,0,0,4.25,0,0,0,1.06
 96-106,0,0,1.09,0,4.37,0,6.56,0,0,2.19,0,0,1.09,0,1.09,1.09,0,6.56,1.09,1.09,0,13.11,0,1.09,1.09,0,2.19,0,0,0,0,1.09,1.09,3.28,0,0
108-118,0,0,0,0,0,1.53,3.06,0,0,1.53,0,0,0,0,0,0,0,1.53,0,0,0,10.72,0,0,0,0,0.77,0,0,0,0,0,0,0,0,0
120,0,0,0,0,1.96,1.96,7.84,1.96,1.96,3.92,1.96,0,0,3.92,0,0,0,3.92,0,0,0,11.76,0,0,0,0,1.96,0,0,1.96,0,0,0,0,0,0
