stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0,31.47,3.15,0,0,6.29,0,0,6.29,0,0,0,0,0,0
 14-21,0,0,0,0,8,0,0,0,0,2,0,0,0,1,0,0,1,0,0,1,0,0,1,0,2,3,9,3,1,0,0,0,0,0
 24-34,0,0,0,0.82,4.1,0,0,0,0,0,0,0,0.82,0.82,0.82,0.82,0.82,0,0,0,4.1,0,1.64,0,0,2.46,0,0,2.46,2.46,0,2.46,0,0
 36-46,0,0,0,0,0.81,0,0,0,0,0,0,0,0,1.61,0,0,1.61,0.81,0,0.81,14.5,0,1.61,0,0,4.83,0,0,0,1.61,0,0,0,0
 48-58,0,0,0,0,0,0,0.57,0,0.57,0.57,0,0,0,0,0,0,2.3,0,0,0,8.03,0,0,0,0,1.72,0,0.57,0,0,0,0.57,0,0
 60-70,0,0,0,0,2.94,0.98,1.96,0,0,0.98,0,0,1.96,0.98,0.98,0,0,0,0,0,19.63,0,2.94,0.98,0,6.87,0,0,0,0.98,0,0.98,0,0
 72-82,0,0,0,0,1.96,0,0.98,0,0.98,0.98,0,0,4.91,0.98,0,0,0,0,0,0,7.85,0,0,0.98,0,5.89,0,0.98,0,0,0.98,1.96,0,0
 84-94,0,0,0,0,4.25,3.19,1.06,0,1.06,0,0,0,3.19,1.06,0,0,2.12,0,3.19,2.12,6.37,0,0,0,0,2.12,0,0,0,0,1.06,2.12,0,3.19
 96-106,0,0,1.09,0,7.65,1.09,0,0,0,2.19,0,0,4.37,0,1.09,0,4.37,1.09,0,0,3.28,0,1.09,0,0,10.93,0,0,0,0,1.09,3.28,0,0
108-118,0,0,0,0,3.06,0.77,0.77,1.53,0,3.06,0,0.77,3.06,3.06,0,0.77,1.53,0.77,0,1.53,6.13,0,1.53,0.77,0,11.49,0,0.77,0,0,0.77,2.3,0,0
120,0,0,0,0,5.88,1.96,0,0,1.96,0,0,0,5.88,3.92,0,1.96,7.84,0,0,1.96,3.92,0,0,0,0,3.92,0,1.96,0,0,0,0,1.96,0
