stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,heart,iridophores,liver,mesenchyme,mural_cell,muscle,neural,notochord,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,6.29,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,12,0,0,0
 24-34,0,0,0,1.64,0,3.28,0,0,0,1.64,0,0,0.82,0,0.82,75.52,0,0,0,0,0,4.93,71.41,0,0,0.82
 36-46,0,0,0,0,0,1.61,0,0,0,0.81,0,0,0.81,0,0,68.48,0,0,0,0.81,0,2.42,58.81,0,0,0.81
 48-58,0,0,0,0,0,1.72,0,0,0,2.3,0,0,3.44,0.57,0,86.64,0,0,1.15,0.57,0,1.72,35.58,0,0,0
 60-70,0,0,0,0.98,0.98,5.89,1.96,0.98,0,0.98,0,0,3.93,0,0,151.15,0,0,0,0.98,0,0.98,54.97,0,0,0
 72-82,0,0,2.94,0.98,0,22.58,0,6.87,0,1.96,0.98,0,1.96,0.98,0.98,211.06,0.98,0,0.98,0,0,0,33.38,0.98,0,0
 84-94,0,0,0,3.19,0,16.99,1.06,6.37,0,1.06,0,0,6.37,1.06,0,112.58,0,0,0,0,0,0,29.74,0,1.06,0
 96-106,0,0,1.09,2.19,0,18.58,0,4.37,1.09,2.19,0,0,6.56,1.09,0,107.1,0,0,2.19,0,0,0,14.21,1.09,1.09,1.09
108-118,0,0,0,1.53,0,16.85,0.77,3.83,0.77,2.3,0,0.77,5.36,0.77,0.77,89.62,0,0,0.77,0,0,0,9.96,0,0,0
120,0,0,0,0,0,15.68,0,3.92,0,0,0,0,0,1.96,0,135.23,0,0,1.96,0,0,0,11.76,1.96,0,0
