stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,pericytes,periderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,1,2,0,0,0,0,0,2,0,0,0,0,0,0,6,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,2.46,0,0.82,0,0,0,0,0,0,0,0,0,0,6.57,0,0,15.6,4.1,2.46,1.64,0,0,0,0,0,0,4.1,0,0
 36-46,0,0,0.81,0,0,0,0.81,0,0,0,0,0,0,0,0,32.23,0,0,33.03,3.22,0.81,0,0,0,0,0,0,0.81,2.42,0,0
 48-58,0,0,0.57,0,2.87,0,2.3,0,0,0.57,0,0,0,0,0.57,118.78,0,0,34.43,5.16,0,0,0,0,0,0,0,0.57,2.3,0,0
 60-70,0,0,0.98,0,0.98,0,4.91,0,0,0,0,0,0,0,0,230.66,0,0,24.54,10.8,0,0,0,0,0,0,0,3.93,5.89,0,0
 72-82,0,0,0.98,0,20.61,0,9.82,3.93,0.98,0,0,1.96,0,0,0,503.59,0.98,0.98,33.38,19.63,0,0,0,0,2.94,0,0,9.82,6.87,0,0
 84-94,0,0,5.31,0,24.43,0,7.43,0,1.06,0,0,0,0,0,0,328.17,0,4.25,23.36,8.5,1.06,1.06,0,0,2.12,2.12,1.06,10.62,1.06,1.06,0
 96-106,0,0,12.02,1.09,29.51,1.09,5.46,1.09,1.09,2.19,0,0,0,1.09,0,433.86,0,3.28,16.39,28.41,0,0,1.09,0,2.19,0,2.19,10.93,5.46,8.74,0
108-118,0,0,8.43,1.53,10.72,1.53,6.13,0.77,0,0.77,0,0,0.77,0.77,0,405.19,0,4.6,10.72,21.45,0,0.77,0.77,0.77,3.06,0.77,0,7.66,4.6,6.13,0.77
120,0,0,5.88,1.96,7.84,0,1.96,0,1.96,0,1.96,0,0,0,0,278.29,1.96,5.88,9.8,29.4,0,0,1.96,0,0,1.96,0,3.92,0,7.84,0
