stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,1080.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.89,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,159.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,15.77,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,76.23,5.26,0,0,18.4,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,9.44,0,3.15,0,12.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185.67,6.29,0,0,25.18,0,3.15,0,6.29,0,0,0,0,0,0,0,0
 14-21,0,0,1,2,29,10,0,27,0,0,7,3,0,2,2,0,1,1,1,12,16,0,0,6,114,7,0,2,4,0,2,4,2,0,4,65,0,0,13,0,17
 24-34,0,0,0.82,0,18.88,2.46,0,59.1,1.64,0,7.39,1.64,0,4.1,3.28,4.1,9.03,1.64,2.46,9.85,22.98,0.82,0,9.85,187.98,3.28,1.64,3.28,0,0,13.13,0,1.64,0,2.46,50.89,0,0,36.94,0,27.91
 36-46,0,0,0.81,0,7.25,2.42,0,46.73,1.61,0,13.7,0,0,1.61,1.61,2.42,12.89,0,0,8.86,14.5,1.61,0,3.22,153.08,2.42,4.03,2.42,0,0,15.31,0,0.81,0,0,43.51,0,0,24.98,0,17.72
 48-58,0,0,0,0,4.02,1.15,0,77.46,0.57,0,25.25,0.57,0.57,1.72,5.74,0.57,27.54,0.57,0,13.77,31.56,1.72,0.57,4.02,149.19,0.57,4.59,3.44,0,0.57,5.16,0,1.15,0.57,0,42.46,0,0,19.51,0,16.07
 60-70,0,0,0,0,6.87,1.96,0,88.34,0.98,0,52.02,0,0.98,0.98,9.82,1.96,60.85,0,0.98,3.93,40.24,1.96,0.98,4.91,123.67,0,0.98,0.98,0,1.96,14.72,0,1.96,0,0,19.63,0,0,22.58,0,13.74
 72-82,0,0,1.96,0,9.82,3.93,0,106.02,1.96,3.93,89.33,3.93,1.96,0,19.63,4.91,62.83,2.94,0.98,7.85,70.68,3.93,4.91,5.89,139.4,0.98,6.87,5.89,0,0,17.67,0,8.83,0,0,7.85,0,0.98,31.41,2.94,10.8
 84-94,0,0,1.06,0,20.18,4.25,0,97.71,4.25,3.19,52.04,6.37,1.06,0,20.18,2.12,69.03,2.12,0,9.56,40.36,3.19,2.12,2.12,66.91,0,7.43,7.43,0,0,40.36,0,12.74,2.12,0,7.43,0,2.12,30.8,1.06,8.5
 96-106,0,0,0,0,18.58,8.74,0,85.24,5.46,2.19,61.2,7.65,0,1.09,17.49,4.37,60.11,1.09,3.28,6.56,41.53,2.19,4.37,7.65,60.11,1.09,6.56,9.84,0,0,52.46,0,9.84,0,0,3.28,1.09,0,36.06,2.19,7.65
108-118,0,0,0,0.77,19.92,5.36,0,66.64,3.83,3.83,32.94,6.89,0,0.77,9.19,7.66,78.13,1.53,2.3,9.19,39.83,3.06,1.53,5.36,63.57,1.53,3.83,7.66,0,0,23.74,0,8.43,0,0,5.36,3.06,0,22.21,0.77,12.26
120,1.96,0,1.96,0,25.48,5.88,1.96,35.28,3.92,1.96,27.44,15.68,0,0,15.68,3.92,50.95,0,3.92,5.88,17.64,1.96,1.96,5.88,62.71,3.92,0,7.84,0,1.96,35.28,0,5.88,0,0,0,1.96,1.96,17.64,0,3.92
