stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,289.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,453.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.78,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,10.51,0,28.92,0,0,0,52.57,0,0,0,0,15.77,0,0,0,0,0,0,0,0,0,0,318.07,5.26,0,0,99.89,0,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,15.73,0,0,0,50.35,0,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,280.08,3.15,0,0,94.41,0,0,0,0,9.44,0,0,0,0,0,0,0,0
 14-21,0,0,1,1,6,3,0,7,0,0,1,2,0,1,0,0,0,0,0,0,9,0,2,130,2,0,1,1,0,0,0,9,0,0,14,36,0,0,0,0,0
 24-34,0,0,0,0.82,5.75,0.82,0,18.06,0,0,4.93,0.82,0,1.64,0,0,0,1.64,0.82,0.82,11.49,0,1.64,159.25,0,1.64,0,0,0,0.82,0,0,0.82,0,0,39.4,0,0,1.64,0,0
 36-46,0,0,0,0,0.81,0,0,26.59,0,0.81,5.64,0,0,0,0,0,0,0.81,0,0,14.5,0.81,2.42,168.38,0,2.42,0.81,0,0,3.22,0,0,0.81,0,0,33.03,0,0,0.81,0,0
 48-58,0,0,0,0,1.72,0,0,39.02,0,0,8.61,0,0,0,0,0,0,1.15,0,0,25.25,0,3.44,98.69,0.57,0.57,1.15,0,0,0.57,0,0,0,1.15,0,27.54,0,0,0.57,0,1.15
 60-70,0,0,0,0,1.96,0,0,54.97,0,0,7.85,0,0,1.96,0,0,0,0,0,0,25.52,0.98,2.94,88.34,0.98,0,0,0,0,0,0,0,0,0,0,10.8,0,0,0.98,0,0
 72-82,0,0,0,0,3.93,0.98,0,44.17,0,1.96,9.82,0,0,0,1.96,0,0,0,0,0,19.63,0,0.98,82.46,0,0.98,0.98,0,0,0.98,0,0,0,0,0,5.89,0,0,3.93,0.98,2.94
 84-94,0,0,0,0,5.31,0,0,32.92,0,1.06,5.31,1.06,0,0,1.06,0,0,1.06,0,0,31.86,2.12,3.19,63.72,0,0,2.12,0,0,5.31,0,0,0,0,0,8.5,0,2.12,1.06,0,0
 96-106,0,0,0,0,4.37,1.09,0,20.76,0,0,14.21,2.19,0,0,1.09,3.28,0,0,1.09,0,15.3,2.19,1.09,42.62,0,3.28,3.28,0,0,4.37,0,0,1.09,0,0,2.19,2.19,0,4.37,1.09,1.09
108-118,0,0,0.77,0,1.53,0,0.77,16.85,0.77,0,12.26,0,0,0,1.53,0.77,0.77,0,0,0.77,15.32,1.53,0.77,70.47,0.77,1.53,4.6,0,0.77,3.06,0,0,1.53,0,0,3.06,0,0.77,5.36,0,0
120,0,0,0,0,7.84,0,0,29.4,1.96,1.96,7.84,0,0,0,1.96,1.96,0,3.92,0,0,5.88,3.92,1.96,48.99,3.92,1.96,0,0,0,0,0,0,0,0,0,1.96,0,0,1.96,1.96,0
