stage,blastomeres,epidermis,eye,fin.mesenchyme,glial,gut,hatching.gland,melanocytes,mesenchyme,muscle,neural,notochord,paraxial.mesoderm,periderm,somites,spinal.cord,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0
  7-9,0,0,0,0,0,0,2.63,0,0,0,13.14,2.63,2.63,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,15.73,0,3.15,0,0,0,0
 14-21,0,1,0,0,1,0,0,0,0,1,5,0,0,0,1,4,0
 24-34,0,0,0,0,0,0,0,0,0,0,5.75,0,0,0,0,1.64,0.82
 36-46,0,0.81,1.61,0,0,0,0,0.81,0,0,4.83,0,0,0,0,0,0
 48-58,0,0,0.57,0,0.57,0,0,0.57,0.57,0,2.87,0,0,0,0,0.57,0
 60-70,0,0,0.98,0.98,0,0,0,0,0,0,1.96,0,0,0,0,0.98,0
 72-82,0,0,0,0,0,0.98,0,0,0.98,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,1.06,0,0,0,0,0,0,0,0,1.06,0,0,0
 96-106,0,0,0,0,0,0,0,0,1.09,0,1.09,0,0,1.09,0,0,0
108-118,0,0,0,0,0,0,0,0,0,0,1.53,0,0,0,0,0,0
