stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,421.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0,0,0
  5-6,42.91,901.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.52,0,0,0,6.13,0,18.39,0,0,0,0,0,0,0,0,0,0
  7-9,15.77,15.77,0,18.4,0,0,23.66,0,0,0,0,15.77,0,0,0,0,0,0,0,0,0,0,349.62,10.51,0,0,105.15,0,2.63,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,15.73,0,3.15,6.29,0,0,0,0,15.73,0,0,0,0,0,0,0,0,0,0,191.97,3.15,0,0,72.38,0,0,3.15,0,9.44,0,3.15,0,0,0,0,0
 14-21,0,0,0,0,8,1,4,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,24,1,0,0,2,0,1,0,1,2,0,5,13,0,1,0,0
 24-34,0,0,0,0.82,2.46,0,4.1,0.82,0,0,0,0,0,1.64,0,0,0,0,4.1,0,0,1.64,41.04,0,0,0.82,0,0,1.64,0,0,0,0,2.46,6.57,0,0.82,0,0
 36-46,0,0,0,0,2.42,0,6.45,0,0,4.03,0,0,0,0,0.81,0,0,0,6.45,1.61,0,0.81,57.2,0,0,1.61,0,0,4.83,0,0,0,0,0,16.92,0,0.81,0,0
 48-58,0,0,0,0,0.57,0,15.49,0.57,0.57,4.02,0.57,0,0,0,0,0,0,0.57,5.74,0,0,2.87,37.87,0.57,0.57,0.57,0,0,1.15,0,0,0,0,0,10.9,0,0.57,0,0
 60-70,0,0,0,0,1.96,0,16.69,0,0,0.98,0.98,0,0,0,0,0,0,0,6.87,0.98,0,1.96,38.28,0,0,0,0,0,1.96,0,0,0,0.98,0,4.91,0,0,0,0
 72-82,0,0,0,0,0.98,0,12.76,0,0,2.94,0,0,0.98,0.98,0,0,0.98,0,13.74,0,0,1.96,24.54,0,0,0,0,0,0.98,0,0,0.98,0,0,3.93,0,0,0.98,0
 84-94,0,0,0,0,2.12,0,6.37,1.06,0,1.06,0,0,0,0,1.06,0,0,0,2.12,0,0,4.25,8.5,0,0,1.06,0,0,3.19,0,0,0,1.06,0,0,1.06,1.06,1.06,1.06
 96-106,0,0,0,0,0,1.09,7.65,0,0,5.46,0,0,0,2.19,0,1.09,0,0,7.65,0,0,0,10.93,0,1.09,2.19,0,1.09,7.65,0,0,0,0,0,0,0,1.09,1.09,0
108-118,0,0,0,0,1.53,0,3.83,0.77,0,1.53,0,0,0,0,0.77,0,0.77,0,3.06,0,0,0.77,13.02,0,0.77,0,0,0,1.53,0,0,0.77,0,0,0.77,0,1.53,0.77,1.53
120,0,0,1.96,0,0,0,3.92,0,0,1.96,1.96,0,0,0,0,0,0,0,1.96,0,1.96,0,5.88,0,1.96,0,0,0,7.84,0,0,0,0,0,1.96,0,0,0,0
