stage,erythrocytes,eye,fast.muscle,glial,heart,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,slow.muscle,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,3.15,0,3.15,0,0,0,0,0
 14-21,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0.82,0,0.82,0.82,0.82,0.82,0,0,0,6.57,1.64,0,0,0
 36-46,0,0,0,0,1.61,0,0,4.83,0,0.81,0,0,0,0,13.7,1.61,0,0,0
 48-58,0,1.72,0,0.57,0,0,0,4.02,0.57,0,0,0,0.57,0,14.92,0.57,0,0,0.57
 60-70,0,6.87,3.93,0,0,4.91,0,7.85,0,0.98,0,0,0,0,12.76,2.94,0,0,0
 72-82,0,8.83,2.94,0.98,0,0,1.96,0.98,0,0,0,0,0,0,10.8,0,0,0.98,0.98
 84-94,0,11.68,5.31,1.06,0,0,0,6.37,0,0,0,0,0,0,21.24,1.06,0,1.06,0
 96-106,1.09,4.37,1.09,2.19,0,2.19,0,2.19,0,1.09,0,0,0,0,12.02,1.09,1.09,0,0
108-118,0,6.13,13.02,0,0,0,0,0,0,0,0,0,0,0,23.74,0.77,0,0,0.77
120,0,7.84,3.92,0,1.96,0,0,5.88,0,0,0,0,1.96,0,3.92,0,0,0,0
