stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,104.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,5.26,0,2.63,0,0,0,10.51,0,0,0,0,15.77,0,0,0,0,0,0,0,0,0,0,0,42.06,2.63,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,9.44,0,0,0,47.2,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,289.52,3.15,0,0,44.06,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,1,0,41,12,0,16,0,0,5,0,0,0,0,36,0,0,0,0,6,1,0,3,185,1,10,1,5,0,0,0,6,1,1,14,69,0,0,22,0,0
 24-34,0,0,0.82,0,16.42,1.64,0,149.4,0,1.64,8.21,0,0,0.82,0,45.15,0,0.82,0,0,19.7,0.82,1.64,11.49,893.91,0.82,18.88,3.28,0,0,2.46,0,0,0.82,0,6.57,177.3,0,0,76.34,0,0
 36-46,0,0,0,0,9.67,0,0,447.95,0,4.03,11.28,0,0,0.81,1.61,16.92,0,1.61,0,0.81,24.98,0.81,0.81,11.28,1491.29,0,19.34,3.22,0,0,0.81,0,0,0,0,0,318.24,0,0,36.26,0,0.81
 48-58,0,0,0.57,0,12.05,1.15,0,712.09,1.15,4.02,29.26,0.57,0.57,1.72,0.57,9.75,1.15,1.72,0,0,48.2,1.15,1.72,18.36,1814.94,1.15,12.05,3.44,0,0,4.02,0,0,0.57,0,0,358.05,0,1.15,43.04,0,1.72
 60-70,0,0,0,0,13.74,0,0,1118.94,1.96,1.96,56.93,0.98,0,0,1.96,18.65,2.94,3.93,0,0.98,90.3,0.98,3.93,17.67,2406.69,0.98,13.74,4.91,0,0,1.96,0,0,0,0,0,414.2,0,1.96,41.22,0,0.98
 72-82,0,0,4.91,0,22.58,0.98,0,1207.44,0.98,6.87,132.52,0.98,0,0,1.96,25.52,0.98,3.93,0.98,0,141.36,1.96,14.72,32.39,2250.95,0,14.72,10.8,0,0.98,2.94,0,0,0,0.98,0,239.53,1.96,2.94,71.66,0.98,3.93
 84-94,0,0,2.12,0,58.41,2.12,0,872.99,5.31,3.19,93.46,3.19,0,1.06,3.19,56.29,2.12,6.37,2.12,0,87.09,1.06,7.43,14.87,1288.25,1.06,12.74,9.56,0,0,6.37,0,0,0,1.06,0,148.69,1.06,4.25,65.85,2.12,0
 96-106,0,0,1.09,0,34.97,5.46,0,698.33,5.46,2.19,83.06,2.19,0,0,4.37,34.97,3.28,12.02,3.28,0,88.52,2.19,5.46,9.84,1115.8,1.09,19.67,12.02,0,1.09,1.09,0,0,0,0,0,55.74,2.19,1.09,55.74,0,1.09
108-118,0,0,1.53,0,15.32,3.06,1.53,470.3,1.53,3.06,62.04,2.3,0,0,3.83,51.32,3.83,8.43,2.3,0,65.11,3.83,3.83,4.6,1257.71,0.77,15.32,21.45,0,0.77,3.06,0,0,0.77,0.77,0,43.66,1.53,1.53,58.21,2.3,0
120,0,0,0,0,29.4,1.96,1.96,421.35,3.92,0,88.19,3.92,0,0,0,23.52,1.96,3.92,1.96,0,58.79,0,7.84,11.76,1595.27,1.96,9.8,19.6,0,0,3.92,0,0,0,1.96,0,70.55,0,0,52.91,0,0
