stage,axial,blastomeres,endocrine.pancreas,endoderm,eye,fast.muscle,glial,gut,hatching.gland,mesenchyme,mucous,muscle,neural,notochord,paraxial.mesoderm,periderm,pronephros,slow.muscle,somites,spinal.cord,vasculature
  3-4,0,224.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,202.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,2.63,2.63,0,0,0,2.63,0,0,0,65.72,7.89,23.66,0,0,0,0,0,0
 10-12,0,9.44,0,0,9.44,0,0,0,0,0,0,0,40.91,3.15,12.59,0,3.15,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
 24-34,0,0,0,0,0,1.64,0,0,0,0,0,2.46,0.82,0,0,1.64,0.82,2.46,1.64,1.64,0
 36-46,0,0,0,0,0,0.81,0,0,0,0,0,1.61,1.61,0,0,4.83,0,0,0,0.81,0.81
 48-58,0,0,0,0,0,1.15,0.57,0,0,0.57,0,0,1.72,0,0,2.3,0,0.57,0,0,0
 60-70,0,0,0,0,0.98,0,1.96,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0
 72-82,0,0,0.98,0,0.98,0.98,5.89,0,0,0,0,0,0,0,0,6.87,0,0,0,0.98,0
 84-94,0,0,0,0,0,0,4.25,0,0,3.19,1.06,0,0,0,0,16.99,0,0,0,0,0
 96-106,0,0,0,0,1.09,0,1.09,1.09,0,0,0,0,1.09,0,0,1.09,0,1.09,0,0,0
108-118,0,0,0,0,0,0.77,2.3,0,0,0,0,0,0,0,0,3.83,0,0,0,0.77,0
120,0,0,0,0,0,0,7.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0
