stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,2.63,0,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,9,3,0,1,0,0,0,0,2,1,0,0,0,0,0,0,4,0,0,1,7,6,0,0,0,0,11,0,0,1,1,0,2,0,0
 24-34,0,0,0.82,0,17.24,0,0,2.46,0,3.28,0.82,0,0,1.64,0,0.82,0,0.82,0,0,13.95,0,0,9.03,9.85,1.64,0.82,0,0,0,37.76,4.1,0.82,0.82,3.28,0,4.93,0,2.46
 36-46,0,0,0,0,15.31,0,0,2.42,0.81,3.22,0,1.61,0.81,0,0.81,0.81,0,0,0,0,12.89,0,0,1.61,8.06,2.42,0,0.81,0,0,35.45,2.42,0.81,0,3.22,0,1.61,0,0.81
 48-58,0,0,0,0,11.48,0,0,5.16,1.15,4.59,0,0.57,0,0,1.72,0.57,0,0.57,0,1.15,18.36,0,1.15,1.72,9.75,0.57,0,0.57,0,0,22.95,1.72,1.72,0,2.3,0,2.87,0,2.87
 60-70,0,0,0,0,12.76,0,0,1.96,0.98,6.87,5.89,1.96,0,0,1.96,0,0,0.98,0,0,6.87,0,0.98,2.94,11.78,1.96,0.98,0,0,0,20.61,0.98,0.98,0,1.96,0.98,0,0,0.98
 72-82,0,0,0,0,13.74,0,0,17.67,0,5.89,4.91,3.93,0.98,0.98,0,0.98,0,0.98,1.96,0,28.47,0,2.94,3.93,9.82,0,0,0.98,0,0.98,11.78,0,0,0,0,0,3.93,0,0.98
 84-94,0,0,0,0,21.24,0,1.06,13.81,0,5.31,1.06,3.19,0,0,5.31,1.06,1.06,1.06,0,1.06,26.55,1.06,1.06,0,6.37,1.06,1.06,0,0,0,39.3,7.43,0,0,1.06,0,2.12,0,0
 96-106,0,0,0,0,6.56,0,0,19.67,1.09,2.19,3.28,0,1.09,0,2.19,2.19,0,1.09,0,1.09,7.65,0,0,0,16.39,1.09,1.09,1.09,0,0,34.97,1.09,1.09,0,1.09,0,9.84,2.19,1.09
108-118,0,0,0,0,23.74,0.77,1.53,16.09,0,10.72,2.3,1.53,4.6,0,3.83,0.77,0.77,0,1.53,2.3,9.96,0,0,0.77,6.13,1.53,0,0.77,0,0,16.09,1.53,0.77,0,0,0,4.6,0,0.77
120,0,0,0,0,13.72,0,0,9.8,0,13.72,0,1.96,0,0,5.88,0,1.96,0,0,0,9.8,1.96,0,3.92,3.92,1.96,1.96,0,0,1.96,9.8,0,0,0,0,0,1.96,0,0
