stage,blastomeres,eye,fast.muscle,fin.epithelia,glial,gut,immune,liver,mesenchyme,mural.cell,neural,olfactory,otic,spinal.cord
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,1
 24-34,0,0,0,0,0,0,0,0,0.82,0,4.93,0,0,0.82
 36-46,0,0.81,0,0,0,0.81,0,0,0.81,0,4.83,0,0.81,1.61
 48-58,0,3.44,0,0,0,0,1.15,0,0,0,8.03,0,0,1.72
 60-70,0,2.94,0,0,0,0,0,0,0,0,16.69,0,0,3.93
 72-82,0,0.98,0,0,0,0,7.85,0,0,0,18.65,0,0,1.96
 84-94,0,6.37,0,0,2.12,0,3.19,0,1.06,0,6.37,0,0,0
 96-106,0,3.28,0,0,0,0,9.84,0,0,1.09,7.65,1.09,1.09,0
108-118,0,2.3,0.77,0.77,0,0,7.66,0,0.77,0,6.89,0,0,0
120,0,0,0,0,1.96,0,3.92,1.96,0,0,7.84,0,0,0
