stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,1,1,0,0,1,0,0,2,0,0,0
 24-34,0,0,0.82,0,0,0,0.82,0.82,0.82,0,0,0,0,0.82,0,0,0,4.93,0,0.82,0,0,4.93,0,0,0.82,0,0,0,0
 36-46,0,0,0.81,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0.81,4.83,0,0,0,0,2.42,0,0,0,0,0,0,0
 48-58,0,0,0,0,0.57,0,1.15,0,0,0,0,0.57,0,0,0.57,0,0,4.59,0,0.57,0,0,3.44,0,0,0,0.57,0,0,0
 60-70,0,0,1.96,0,2.94,0,1.96,0,0,0,0,0,0,0,0,0.98,0,3.93,0,0,1.96,0,1.96,0,0,0,0.98,0,0,0
 72-82,0,0,0,1.96,4.91,0,0,1.96,0,0,0,0,0,0,0.98,0.98,0,2.94,0,2.94,0,0,2.94,0,0,0,0,0,0,0
 84-94,0,0,1.06,2.12,2.12,0,0,0,0,0,0,0,2.12,0,1.06,1.06,0,2.12,0,1.06,1.06,0,10.62,0,0,0,2.12,0,1.06,1.06
 96-106,0,0,1.09,2.19,1.09,0,0,0,0,1.09,1.09,0,1.09,1.09,2.19,0,0,0,0,3.28,2.19,0,2.19,0,0,0,1.09,0,0,0
108-118,0,0.77,2.3,2.3,0.77,0.77,0,0.77,0,0.77,0,0.77,1.53,0,3.83,0,0.77,1.53,0,5.36,1.53,0,5.36,0,0.77,0,0,0.77,0,0
120,0,0,1.96,0,0,3.92,0,0,0,1.96,0,1.96,0,0,0,0,0,3.92,0,0,1.96,0,9.8,3.92,0,0,0,1.96,0,0
