stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,mesenchyme,mucous,muscle,neural,notochord,olfactory,pericytes,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,0,9,0,0,1,0,0,0,0,2,0,0,0,1,0,3,2,1,0,0,1,0,0,1,3,0,0,0,0
 24-34,0,2.46,0,22.16,0,0,0,0,1.64,0,0,2.46,0.82,0,0,13.13,0,13.13,9.03,0,0.82,0,6.57,0,1.64,1.64,0,0,0,0,0
 36-46,0,1.61,0,12.89,0,0,0.81,0.81,1.61,0,1.61,0.81,0,0,0,33.03,0,12.09,8.06,0,0,0,0.81,0,0.81,0,0,0.81,0,0,0
 48-58,0,2.3,0,4.02,0,0,2.3,0,2.87,0,1.72,0,0,0,0,19.51,0.57,2.87,4.59,0,0,0,2.87,0,0.57,0,0,0.57,0,0,0
 60-70,0,0.98,0,6.87,0,0,3.93,0.98,10.8,1.96,0,0,0,0,0,16.69,0.98,5.89,5.89,0,0,0,3.93,0,0.98,0.98,0,0.98,0,0.98,0
 72-82,0,0.98,0,8.83,0,0,1.96,0,2.94,1.96,2.94,0.98,0,0,0.98,19.63,0,2.94,1.96,0,0.98,0,0,0,2.94,0,0,0,0,0,0.98
 84-94,0,2.12,0,11.68,0,0,0,0,12.74,0,0,0,0,2.12,1.06,11.68,0,1.06,1.06,0,0,0,6.37,0,0,0,0,0,0,1.06,0
 96-106,0,0,0,15.3,1.09,1.09,1.09,0,5.46,0,0,1.09,0,1.09,1.09,6.56,1.09,0,5.46,0,1.09,0,8.74,1.09,3.28,1.09,0,1.09,0,0,0
108-118,0,0.77,0,21.45,0,0,1.53,0.77,23.74,0.77,0.77,1.53,0.77,0.77,2.3,15.32,0,0.77,3.83,0,0.77,0.77,3.06,0,0.77,0,0,0,0.77,0,0
120,0,0,0,13.72,0,0,0,0,19.6,0,0,0,0,0,3.92,5.88,0,0,5.88,1.96,0,0,0,1.96,1.96,0,0,0,0,0,0
