stage,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,mesenchyme,muscle,neural,olfactory,otic,periderm,spinal.cord
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,2.46,0.82,0,0,1.64
 36-46,0,0,0,1.61,0.81,0,0,0,0,9.67,1.61,0,0,3.22
 48-58,0,0,0,2.87,0,0,0.57,0.57,0,9.75,0,0,0,2.3
 60-70,0,0,0,11.78,0,0,0.98,0,0,22.58,0,0,0.98,3.93
 72-82,0,0,0,6.87,0,0.98,0,0.98,0,14.72,0,0,0,1.96
 84-94,0,1.06,0,2.12,0,0,0,0,0,8.5,0,1.06,1.06,2.12
 96-106,0,0,1.09,0,0,0,0,0,0,5.46,0,1.09,2.19,1.09
108-118,0,0.77,0,1.53,0,0,0.77,0,0,10.72,0,0,0,0
120,0,0,0,3.92,0,0,0,0,1.96,1.96,0,0,0,0
