stage,blastomeres,endocrine.pancreas,endoderm,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0
  5-6,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,4,1,4,0,1,1,58,0,54,0,0,0,0
 24-34,0,0,0,0,0.82,0,0,21.34,0,0,0,0.82,0,0,0.82,0,0,0,11.49,0,16.42,6.57,0,1.64,50.07,2.46,42.68,0,0,0.82,0
 36-46,0,0,0,1.61,0.81,0,0,14.5,0,0,0,0,0,0,0,0,0,0,8.86,0,15.31,0,0,0.81,20.95,0,35.45,0,0,0,0
 48-58,0,0.57,0,0,2.3,0,0,17.79,0,0,0,3.44,0,0.57,1.72,0,0,0.57,11.48,0,18.36,7.46,0,0,5.16,0,27.54,0,0,0,0
 60-70,0,0,0,0,1.96,0,0,12.76,0,0,0,4.91,0,0,0,0.98,0,0,20.61,0,25.52,10.8,0,0,0.98,0,22.58,0,0,0,0
 72-82,0,0.98,0,0,5.89,0.98,0,15.71,2.94,0,0,13.74,0,0,6.87,0,0,0,42.21,0,49.08,27.49,0,0,4.91,0,10.8,0,0,0,0.98
 84-94,0,0,1.06,1.06,5.31,0,0,12.74,3.19,0,0,15.93,0,0,0,0,0,1.06,20.18,0,49.92,30.8,0,1.06,11.68,0,11.68,0,0,0,0
 96-106,0,2.19,3.28,1.09,5.46,0,0,10.93,3.28,0,0,32.79,0,0,1.09,0,0,0,27.32,0,55.74,48.09,0,1.09,9.84,0,14.21,0,1.09,0,0
108-118,0,2.3,0.77,0.77,3.06,0.77,0.77,7.66,3.06,0,0.77,19.15,0,0,0.77,0,0.77,0.77,30.64,0,44.43,30.64,0,0,9.96,0,4.6,1.53,0,0.77,0
120,0,0,0,1.96,3.92,0,0,0,5.88,1.96,3.92,11.76,3.92,0,0,0,0,0,9.8,0,21.56,13.72,0,0,9.8,0,5.88,0,1.96,0,0
