stage,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,8,5,7,0,0,10,0,0,0,1,0,0,0,1,0,2,251,0,0,0,0,1,5,1,0,2,38,0,0,0,1
 24-34,0,5.75,4.1,20.52,0,0,9.03,0,1.64,0,0.82,0,0.82,0.82,17.24,0.82,3.28,428.49,1.64,0.82,2.46,0,2.46,0,5.75,0,0.82,85.37,0,1.64,0,0.82
 36-46,0,1.61,0,19.34,0,0,3.22,0,0,0,0,0,0,0.81,12.09,0.81,2.42,168.38,0,1.61,0,0,0.81,0,2.42,0.81,0,43.51,0,1.61,0,0
 48-58,0,2.3,0,27.54,0.57,0.57,5.74,0,0,0,0,0,0.57,0,14.35,0,1.15,79.76,0,0.57,0.57,0,0,0,1.15,0,0,25.25,0,0.57,0,0
 60-70,0.98,2.94,0.98,27.48,0.98,0,7.85,0,0,0,0,0,0,0.98,18.65,0,2.94,64.78,0,0.98,0.98,0.98,0.98,0,0.98,0,0,17.67,0,0,0,0
 72-82,1.96,0.98,1.96,50.06,0,0.98,21.6,0.98,0.98,0,0,0,2.94,0,33.38,0,1.96,135.47,0,2.94,0.98,0.98,0,0,0,0,0,7.85,0,0,0,0
 84-94,0,3.19,1.06,14.87,0,0,13.81,1.06,0,0,0,2.12,2.12,0,11.68,0,0,25.49,1.06,1.06,1.06,0,2.12,0,3.19,0,0,7.43,0,2.12,0,0
 96-106,0,1.09,1.09,17.49,0,0,14.21,3.28,0,1.09,0,1.09,0,0,6.56,0,1.09,24.04,0,1.09,2.19,0,1.09,0,2.19,0,0,5.46,1.09,1.09,0,0
108-118,0,1.53,2.3,6.13,0,0,15.32,0,0,3.06,0,0,0,0,6.13,0,1.53,24.51,1.53,1.53,0.77,0,0,0,2.3,0,0,3.83,0,0,0.77,0
120,0,1.96,3.92,19.6,0,0,11.76,0,0,1.96,1.96,0,0,0,3.92,0,1.96,56.83,0,0,1.96,0,0,0,1.96,0,0,1.96,1.96,0,0,0
