stage,eye,fin_epithelia,fin_mesenchyme,glial,gut,iridophores,lateral_line,mesenchyme,neural,paraxial_mesoderm,spinal_cord,taste,vasculature
  7-9,0,0,0,0,0,0,0,0,5.26,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,3.15,0,0,0
 14-21,0,0,0,0,0,0,0,0,2,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,2.46,0,0,0,0.82
 36-46,0,0,0,0,0,0,0,0,0.81,0,0,0,0
 48-58,0,0,0.57,0,0,0,0,0.57,1.72,0,0.57,0,0
 60-70,0,0,0,0,0,0.98,0,0,0.98,0,0,0,0
 72-82,1.96,0,0,0,0,0,0,0.98,3.93,0,0,0,1.96
 84-94,0,0,0,1.06,0,0,1.06,1.06,1.06,0,0,0,0
 96-106,1.09,1.09,0,1.09,0,0,0,0,2.19,0,0,1.09,1.09
108-118,0,0,0,1.53,0,0,0,0,1.53,0,0.77,3.06,0
120,0,0,0,3.92,5.88,0,0,0,0,0,0,1.96,0
