stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,2,0,0,2,4,1,1,0,1,0,0,1,0,1,1,0,0,0,0,0
 24-34,0,0,0.82,0.82,0,1.64,0,0,0,0.82,0,0,0.82,0.82,0,0,22.98,1.64,4.93,0,0,4.93,46.79,0.82,0.82,0.82,0,0,0.82,1.64,0,0.82,8.21,0,0,1.64,0,0
 36-46,0,0,0.81,0,0,3.22,0,0,0,0,0,0,1.61,0,0,0.81,7.25,2.42,3.22,0,0,0,41.09,0,0.81,0,0,0,0,2.42,0,0,9.67,0,0,3.22,0,0
 48-58,0,0,0.57,0,0,5.16,0,0.57,0.57,1.72,0,0,0,0,0,0,14.35,2.87,5.16,0,0,0,37.3,0,1.72,0,0,0,0.57,0.57,0,0,8.03,0,0,0,0,0
 60-70,0,0,0.98,0,0,11.78,0,0,0,2.94,0,1.96,1.96,0.98,0.98,0,43.19,1.96,8.83,0,0,1.96,25.52,0,0,0.98,0,0,0.98,1.96,0,0,4.91,0,0,1.96,0,0
 72-82,0,0,0,1.96,0,11.78,0,0,0,1.96,1.96,0,0.98,0.98,0,0,119.76,6.87,11.78,0.98,0,2.94,39.27,0,1.96,0,0,0.98,0,10.8,0,0,2.94,0,0,0,0.98,0
 84-94,0,0,1.06,4.25,0,4.25,0,0,1.06,1.06,1.06,0,3.19,1.06,1.06,0,447.12,6.37,11.68,1.06,0,4.25,31.86,0,0,0,0,0,1.06,38.23,0,0,0,0,0,0,0,0
 96-106,0,0,7.65,4.37,0,13.11,1.09,1.09,0,9.84,2.19,0,7.65,4.37,0,0,699.42,2.19,17.49,0,0,2.19,102.73,1.09,0,1.09,0,0,4.37,49.18,1.09,0,0,1.09,0,5.46,1.09,2.19
108-118,0,0.77,3.83,3.83,2.3,19.15,0,0.77,1.53,4.6,2.3,0,8.43,0.77,1.53,0.77,1381.8,11.49,20.68,1.53,1.53,2.3,92.68,1.53,2.3,1.53,0,0,3.83,49.79,0,0,1.53,0.77,0.77,1.53,0,0
120,0,0,3.92,3.92,0,15.68,0,0,0,0,0,0,1.96,1.96,1.96,0,731,5.88,13.72,0,0,1.96,72.51,0,0,1.96,0,0,0,31.36,0,0,1.96,0,0,1.96,1.96,0
