stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,spinal.cord,taste,vasculature,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,3,0,0,0
 24-34,0,0.82,0.82,0.82,0,3.28,0,0,0,1.64,0,0,0,0,0,0,0,0,0,137.08,0,0.82,0,0,0,0.82,20.52,0,0.82,0
 36-46,0,1.61,0,0,0,2.42,0,0,0.81,1.61,0,0.81,0,0,0,1.61,0,0,0.81,261.04,0,0.81,0,0,0.81,0,29.81,0,0.81,0
 48-58,0,1.15,1.15,1.15,0,16.64,0,0,0.57,2.3,0,0.57,0,0,0,2.3,0.57,0,0,174.44,0.57,0,0,0,0,0,7.46,0,0.57,0.57
 60-70,0,0.98,0,1.96,0,19.63,0,0,0,6.87,2.94,0,0,0,0,1.96,0,0,0,235.57,0,0,0,0,0,0,1.96,0,0.98,0
 72-82,0,10.8,1.96,0.98,0,39.27,0,0,0.98,6.87,5.89,0,0,0.98,0,3.93,0,0,0,203.2,0,0.98,0,0,0,0,4.91,0,0,0
 84-94,0,2.12,0,0,0,32.92,0,0,0,10.62,6.37,1.06,0,0,0,2.12,0,0,0,109.39,0,1.06,0,0,0,0,6.37,3.19,0,1.06
 96-106,0,4.37,4.37,2.19,1.09,53.55,1.09,0,0,3.28,6.56,1.09,1.09,0,2.19,1.09,1.09,0,0,118.03,0,0,1.09,0,1.09,0,6.56,3.28,0,0
108-118,0,4.6,2.3,4.6,3.06,85.02,0,0,0.77,8.43,7.66,0,1.53,0.77,0,9.19,0,0,0,141.7,0,0,0.77,0.77,0,0,3.06,2.3,0,0.77
120,0,5.88,3.92,0,1.96,60.75,0,1.96,3.92,3.92,3.92,1.96,0,0,0,0,0,1.96,0,129.35,0,0,0,0,0,0,5.88,0,0,0
