stage,blastomeres,epidermis,eye,fast.muscle,glial,gut,immune,iridophores,lateral.line,liver,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,somites,spinal.cord,vasculature,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,2,0,1,6,0,0,0,0,0,1,1,1,0,0
 24-34,0,0.82,3.28,0,0,0,0,0,0,0,1.64,0,1.64,12.31,0,0,0,0,0,0,0,5.75,0,0
 36-46,0,0,1.61,0,0.81,0,0,0,0,0,0,0,0,16.92,0,0,0,0,0,0,0,3.22,1.61,0
 48-58,0,0,2.87,0.57,0.57,0,0,0,0,0,1.15,0,0.57,12.62,0,0.57,0,0,0,0,0,4.59,0,0
 60-70,0,0,2.94,0,0,0,0,0,0,1.96,1.96,0,0,6.87,0.98,0,0,0,0,0,0,0.98,0,0
 72-82,0,0,5.89,0,0.98,0,0,0.98,0,0,1.96,0,0,9.82,0.98,0,0,0,0,0,0,0,0,0.98
 84-94,0,0,2.12,0,1.06,0,0,0,0,0,0,0,0,3.19,0,0,0,0,2.12,0,0,0,0,0
 96-106,0,0,1.09,0,0,0,1.09,0,1.09,0,0,0,0,0,0,1.09,0,0,0,0,0,0,0,0
108-118,0,0,1.53,0,2.3,0,0,0.77,0,0,1.53,0.77,0,3.06,0,0.77,0,0,0,0,0,0,0,0
120,0,0,1.96,0,0,1.96,0,1.96,0,0,1.96,0,0,9.8,0,0,0,1.96,0,0,0,0,0,0
