stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,1186.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0
  5-6,36.78,686.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.03,2.63,0,0,23.66,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,6.29,0,0,0,0,0,0,0,0,0
 14-21,1,0,0,21,3,2,0,0,2,0,0,0,1,0,0,19,0,13,47,1,0,1,0,0,9,5,1,9,0,4,0,0
 24-34,0,0,0,0,0,1.64,0,0,0.82,0,0,0,0,0,0,1.64,0,0.82,17.24,0,0,0,0,0,0,0.82,0,4.1,0,0,0,0
 36-46,0,0,0,2.42,0,1.61,0,0,0.81,0,0,0,0,0,0,5.64,1.61,0,29,0,1.61,1.61,0,0.81,0,0,0,6.45,0.81,0.81,0,0
 48-58,0,0,0,1.15,0,2.87,0,0.57,0.57,0,0.57,0,0,0,0,5.16,0,0.57,16.64,0,1.15,0,0,0.57,0,0,0,4.02,0,0,0,0.57
 60-70,0,0,0,0.98,0,13.74,0,0,0,0,0,0.98,0,0,0.98,7.85,0,0,15.7,0,0,0,0,1.96,0,0,0,3.93,0,0,0,0
 72-82,0,0,0,0.98,0.98,10.8,0,0,2.94,0.98,0.98,0.98,0,0,0,4.91,0,0.98,24.54,0,0.98,0,0,3.93,0,0,0,0.98,0,0.98,0,0
 84-94,0,0,0,2.12,0,12.74,0,0,1.06,1.06,0,0,0,0,0,2.12,0,0,7.43,0,1.06,0,0,3.19,0,0,0,2.12,0,0,0,0
 96-106,0,0,0,4.37,0,4.37,0,0,2.19,0,1.09,0,0,0,0,7.65,1.09,0,5.46,0,1.09,1.09,0,10.93,0,0,0,0,0,1.09,0,0
108-118,0,0,0,0.77,0,6.89,0.77,0,2.3,0.77,0,0.77,0,0.77,0,4.6,0,0.77,9.96,0,1.53,0,0,6.89,0,0,0,0.77,0,0,0,0
120,0,0,0,0,0,3.92,0,1.96,0,0,0,3.92,0,0,0,0,0,0,13.72,0,0,0,0,15.68,0,0,0,0,0,1.96,1.96,0
