stage,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,periderm,slow.muscle,somites,spinal.cord,vasculature
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
 24-34,0,0.82,0,0,0.82,8.21,0,0,0,0,0,0.82,0,0,0,0,0,0.82,0,9.03,11.49,0,0,0,2.46,2.46,2.46,1.64
 36-46,0,0,0,0,1.61,24.17,0,0,0,0,0.81,0,0,0,0,0,0,0,0,4.83,13.7,0,0,0,2.42,2.42,3.22,1.61
 48-58,0,0.57,0,0,7.46,14.92,0,0,1.15,0,0,0,0,0,0,0,0.57,2.87,0.57,1.72,17.21,0,0,0.57,2.87,0,4.59,0
 60-70,0,0.98,0.98,0,5.89,29.45,0,0,0.98,0,0,0,0,0,0,0,0,3.93,0,5.89,11.78,0,0,0,5.89,0,0.98,0.98
 72-82,0,0,0,0,14.72,14.72,0,0.98,0.98,0,0,0,0,0,0,0,0,3.93,0,2.94,14.72,0.98,0,0,9.82,0,3.93,0
 84-94,1.06,0,0,0,5.31,9.56,0,0,0,0,0,0,0,1.06,0,0,0,3.19,0,3.19,5.31,0,0,1.06,7.43,0,0,0
 96-106,0,0,3.28,0,4.37,25.14,0,0,4.37,0,0,2.19,0,1.09,1.09,0,0,9.84,0,9.84,14.21,0,1.09,5.46,5.46,0,0,1.09
108-118,0,1.53,0.77,0.77,6.13,28.34,0.77,0,2.3,0.77,0,0,0.77,0,0,1.53,0,4.6,0,7.66,13.02,0,0,1.53,9.96,0,0,2.3
120,0,0,0,0,3.92,39.2,0,0,0,0,0,0,0,0,0,0,0,5.88,0,7.84,5.88,0,0,1.96,7.84,0,0,0
