stage,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0
 14-21,0,3,3,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,14,0,0,0,0,0,0,1,0,1,0,0,0,0,0
 24-34,0,1.64,0,0,0.82,0,0,0,0,0,1.64,0,0,10.67,0,0.82,0.82,0,0,0,30.37,0.82,2.46,6.57,0,0,0,0,0,3.28,0,0,5.75,0,0.82
 36-46,0,0,0,0,0,0,0,0,0,0,2.42,0,0,8.86,0,1.61,4.03,0,0,4.03,28.2,0,4.83,4.83,0,0,0,0,0,5.64,0,0,9.67,0,0
 48-58,0,0.57,0,0,3.44,0,0,1.72,0,0,9.18,0.57,0,9.75,0,1.72,5.74,1.15,0,7.46,21.23,0,1.15,4.59,0.57,0,0.57,0,0,1.72,0,0,8.61,0,0
 60-70,0,6.87,0,0,1.96,0,0.98,3.93,0.98,0,32.39,0,0,10.8,0,1.96,8.83,0,0,4.91,29.45,0,0.98,0.98,0,0.98,2.94,0,0.98,0.98,1.96,0,11.78,0,0.98
 72-82,5.89,9.82,0.98,0,14.72,0.98,0,27.49,4.91,0.98,128.6,2.94,0,16.69,0,0.98,41.23,0,0,9.82,50.06,0,0,4.91,0,0.98,1.96,0,0,2.94,1.96,0,24.54,0.98,0
 84-94,2.12,9.56,2.12,0,10.62,0,0,16.99,6.37,2.12,142.31,2.12,1.06,23.36,0,4.25,23.36,0,1.06,9.56,53.1,0,1.06,3.19,0,0,2.12,0,0,1.06,10.62,1.06,20.18,0,0
 96-106,3.28,20.76,4.37,0,17.49,0,1.09,21.86,5.46,2.19,204.36,7.65,0,38.25,2.19,1.09,29.51,0,2.19,18.58,60.11,1.09,1.09,6.56,0,1.09,5.46,0,0,0,45.9,0,22.95,2.19,1.09
108-118,0.77,24.51,3.06,0.77,9.19,0.77,3.06,22.98,7.66,2.3,178.47,0.77,0,26.81,0.77,0,31.4,0,0.77,11.49,68.17,0,1.53,1.53,0,0.77,1.53,0.77,0,2.3,35.23,0,17.62,1.53,0
120,0,31.36,7.84,0,11.76,0,3.92,25.48,7.84,0,309.65,3.92,0,35.28,1.96,0,35.28,0,0,13.72,66.63,0,5.88,5.88,0,0,1.96,0,0,3.92,25.48,0,19.6,1.96,0
