stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,xanthophores
  3-4,1001.52,15510.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,645.72,0,0,0,0,0,0,0,0
  5-6,876.54,9592.88,0,12.26,0,0,0,0,0,0,0,30.65,0,0,0,0,0,0,0,0,355.52,36.78,0,0,104.2,306.48,0,0,0,0,0,0,0,0
  7-9,78.86,105.15,0,202.41,0,0,241.84,0,0,0,0,168.24,0,0,0,0,0,0,0,0,2860.04,115.66,0,0,1148.75,10.51,23.66,0,0,0,0,0,0,0
 10-12,0,18.88,0,72.38,0,0,122.73,0,0,0,0,18.88,0,0,0,0,0,0,0,0,1035.35,34.62,0,0,371.34,3.15,9.44,3.15,50.35,0,6.29,0,0,0
 14-21,0,0,0,7,56,14,21,0,0,11,3,1,0,3,0,0,1,14,0,3,333,8,1,6,8,7,3,16,8,2,12,154,2,0
 24-34,0,0,0.82,2.46,5.75,0.82,17.24,0,1.64,3.28,0.82,0,0,0,0.82,1.64,0.82,6.57,0,4.93,97.68,1.64,0.82,9.85,0,13.95,1.64,0,0,0,0.82,40.22,3.28,0
 36-46,0,0,0,0,0,0,8.86,0,0.81,4.83,1.61,0,0,0,0.81,0,0.81,8.06,0.81,0.81,46.73,0,0,4.83,0,8.06,0,0,0.81,0,0,15.31,0,0
 48-58,0,0,0,0,0.57,0,12.05,0,0,2.87,0,0,0.57,0,0,2.3,0.57,8.61,0,1.15,11.48,0,0,5.74,0,2.3,0,0,0.57,0,0,2.3,0.57,0
 60-70,0.98,0,0,0,2.94,0,11.78,0.98,0,3.93,3.93,0,0,0,0,7.85,0,4.91,0.98,0.98,12.76,0,0,16.69,0,0,0,0,0,0,0,1.96,0,0.98
 72-82,0,0,0,0,0.98,0,3.93,1.96,0,2.94,0,0,0,0,0,18.65,1.96,11.78,0,1.96,4.91,0,0,33.38,0,2.94,0,0,0,0,0,0.98,0.98,0
 84-94,0,0,0,0,2.12,1.06,3.19,1.06,2.12,1.06,1.06,0,0,0,0,21.24,3.19,4.25,0,0,2.12,0,0,44.61,0,5.31,0,0,1.06,0,0,0,0,0
 96-106,0,0,0,0,2.19,0,3.28,0,0,1.09,0,0,0,0,0,42.62,4.37,4.37,0,2.19,5.46,0,0,62.29,0,3.28,1.09,0,0,0,0,1.09,2.19,0
108-118,0,0,0,0,1.53,0,3.83,0.77,0,1.53,0,0,0,0,0,29.11,8.43,0.77,0,0,5.36,0,0,36.77,0,2.3,0,0,0,0,0,0,1.53,0
120,0,0,0,0,1.96,0,1.96,0,0,3.92,0,0,0,0,0,31.36,7.84,1.96,0,0,7.84,0,0,47.03,0,3.92,0,0,0,0,0,0,1.96,0
