stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,263.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,190.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0
  7-9,10.51,5.26,0,7.89,0,0,0,13.14,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,94.63,5.26,0,0,47.32,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,12.59,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.26,3.15,0,0,34.62,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,2,40,7,0,9,0,0,0,7,1,0,1,0,0,0,1,0,0,17,0,0,16,112,3,0,0,2,0,6,24,1,35,43,0,0,4,0,0
 24-34,0,0,0,0.82,8.21,0,0,7.39,0,1.64,0.82,1.64,0.82,0,0,0,2.46,0.82,0,0,0,15.6,0,0,4.93,63.21,0,2.46,1.64,0,0,19.7,0,0,3.28,13.95,0,0,9.85,0,0
 36-46,0,0,0,0,4.03,0,0,5.64,0,0.81,0,4.83,0,0,0.81,0,0.81,0,0.81,0.81,0,25.78,0.81,0,4.83,37.87,0.81,4.03,0.81,0,0,15.31,0,0,0,10.47,0,0,2.42,0.81,0.81
 48-58,0,0,0,0,2.87,0,0,15.49,0,1.72,0.57,6.31,0.57,0.57,1.15,0.57,0.57,0.57,0,0,0.57,18.36,0.57,0,4.02,17.21,0.57,5.74,0.57,0,0,13.2,0,0.57,0,6.31,0,0,4.02,0,2.3
 60-70,0,0,0,0,4.91,0,0,3.93,0.98,0.98,1.96,7.85,0,0,0,0.98,0,0.98,0,0,0.98,17.67,0.98,0,2.94,4.91,0,7.85,0.98,0,0,15.7,0,0,0,3.93,0,0,0.98,0,2.94
 72-82,0,0,0.98,0,2.94,0.98,0,7.85,0,0,0,11.78,1.96,0,1.96,1.96,0.98,0,3.93,0,0.98,24.54,0.98,2.94,3.93,9.82,0.98,24.54,2.94,0,2.94,15.71,0,0.98,0,0.98,0.98,0.98,5.89,0,2.94
 84-94,0,0,0,0,6.37,1.06,0,1.06,0,2.12,0,6.37,0,0,0,2.12,0,0,0,0,0,7.43,0,1.06,1.06,8.5,0,14.87,1.06,0,0,32.92,0,1.06,0,1.06,0,0,6.37,0,1.06
 96-106,0,0,0,0,6.56,1.09,1.09,1.09,0,1.09,1.09,5.46,2.19,0,0,4.37,1.09,1.09,5.46,0,0,10.93,2.19,0,2.19,5.46,3.28,10.93,2.19,0,0,27.32,0,2.19,0,0,2.19,1.09,12.02,0,3.28
108-118,0,0,0.77,0.77,10.72,0,0,2.3,0,4.6,0.77,9.96,2.3,0,0.77,1.53,3.06,2.3,0.77,0,0,16.85,0,0.77,1.53,6.89,0,16.09,0.77,0,0,20.68,0,0,0,0,0.77,0,9.19,0.77,9.96
120,0,0,0,1.96,11.76,0,0,0,0,0,0,3.92,3.92,0,7.84,1.96,0,3.92,1.96,1.96,0,9.8,0,0,3.92,0,0,11.76,1.96,0,3.92,25.48,0,0,0,1.96,0,0,5.88,0,0
