stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,glial,gut,ionocyte,lateral.line,liver,mesenchyme,muscle,neural,olfactory,otic,pericytes,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,vasculature,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,2.63,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,1,1,0,0,0,0,0,1,0,8,0,0,0,0,1,0,2,5,0,0
 24-34,0,0.82,0,0,2.46,0,0,0,0,0,0,0,14.78,0,0,0,0,0,0.82,0,0.82,0,0
 36-46,0,0,0,0,7.25,0,0.81,0,0,0,0,0,18.53,0.81,0,0,0,0,0,0,5.64,0,0
 48-58,0,0,0,0,12.05,2.87,0,0,0,0,1.72,1.15,19.51,1.72,0.57,0,0,0,0,0,1.72,0,0
 60-70,0,0,0,0,7.85,1.96,0,0,0,0,1.96,0.98,23.56,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0.98,0,11.78,2.94,0,0.98,0,0,1.96,0,8.83,1.96,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,3.19,2.12,0,0,1.06,0,1.06,0,9.56,2.12,0,1.06,0,0,0,0,1.06,0,0
 96-106,0,0,0,0,5.46,0,0,0,0,1.09,3.28,0,3.28,1.09,0,0,2.19,0,0,0,0,1.09,0
108-118,0,0,0,0,3.83,0.77,3.06,0,0,0,1.53,0,4.6,2.3,0.77,0,0,0,0,0,0,0,0.77
120,0,0,0,0,0,0,0,1.96,0,0,0,0,3.92,3.92,0,0,0,0,0,0,0,0,0
