stage,epidermis,exocrine_pancreas,eye,fin_epithelia,glial,gut,immune,ionocyte,lateral_line,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,somites,spinal_cord,vasculature,xanthophores
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0
 24-34,0.82,0,0.82,0,0,0,0,0,0,0,0,0,6.57,0,0,0,94.4,0.82,2.46,0,0
 36-46,0,0,0,0,0,0,0,0.81,0,2.42,0,0,0.81,0,0,0,105.54,0,0.81,0.81,0
 48-58,1.15,0,0,0.57,0,0.57,0,0,0.57,1.15,0.57,0,3.44,0,0,0,53.94,0,0.57,0,0
 60-70,0.98,0,0,0,0,0.98,0,0,0,0,0,0,2.94,0,0,0,54.97,0,0,0,0
 72-82,5.89,0,0.98,0,0,1.96,0,0.98,0,0,0,0,0.98,0,0,0,42.21,0,0,0,0
 84-94,2.12,0,0,1.06,0,3.19,0,1.06,0,1.06,2.12,0,3.19,0,0,0,107.27,0,0,0,1.06
 96-106,6.56,0,6.56,1.09,2.19,2.19,0,0,0,1.09,0,1.09,6.56,1.09,1.09,0,161.74,0,1.09,1.09,0
108-118,12.26,0.77,1.53,0.77,2.3,5.36,0.77,1.53,0,2.3,1.53,0,2.3,0,0,0,160.85,0,0,0,0
120,3.92,0,0,3.92,1.96,1.96,1.96,3.92,0,0,0,0,5.88,0,0,0,125.43,0,0,0,0
