stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,0,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,140.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.75,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,6.29,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.91,3.15,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,23,0,0,70,0,0,0,1,1,0,0,0,0,0,5,0,0,2,64,0,0,1,1,0,1,0,2,0,0,11,0,0,0,0
 24-34,0,0,1.64,13.13,0,0,114.1,0,0,0.82,0.82,0,0,0.82,0,0.82,0,9.85,0,0.82,2.46,82.09,0,1.64,0.82,0,0,1.64,0,4.93,0,0.82,24.63,0,0,0,0
 36-46,0,0,0,3.22,0,0,96.68,0,1.61,0,12.89,0,0,0,0.81,2.42,0,16.92,0,2.42,0.81,244.12,0.81,3.22,2.42,0,0,4.03,0.81,2.42,0,0,34.64,0,0,0.81,0
 48-58,0.57,0,0,1.15,0,0,109.02,0,0,0,29.84,0.57,0,0.57,0,1.15,0,21.23,0,4.02,1.72,272.56,0,0.57,1.72,0,1.72,1.72,0,0,0.57,0,29.84,0,0.57,0,0
 60-70,0,0,0,0,0,0,173.73,0,0,0.98,72.63,0,0,0,0,0.98,0.98,20.61,0,5.89,1.96,344.51,0.98,0,0.98,0,0,1.96,0,0.98,0,0,30.43,0,0.98,0,0
 72-82,0,0,0,2.94,0,0,121.73,0,0,1.96,94.24,0.98,0.98,0.98,0.98,0,0,24.54,0,5.89,1.96,241.49,0,0.98,0.98,0,1.96,0.98,0,0,0,0,17.67,0,1.96,1.96,1.96
 84-94,0,0,0,2.12,0,0,175.24,0,0,1.06,55.23,0,0,1.06,1.06,0,0,15.93,0,4.25,0,124.26,0,0,0,0,0,1.06,0,2.12,1.06,0,14.87,0,2.12,0,2.12
 96-106,0,0,0,3.28,1.09,1.09,189.06,1.09,1.09,0,53.55,0,0,1.09,1.09,0,2.19,14.21,1.09,1.09,0,124.58,0,1.09,5.46,0,1.09,2.19,0,1.09,1.09,0,5.46,0,2.19,1.09,1.09
108-118,0,0,0,5.36,0.77,1.53,180.77,0.77,0,0,63.57,0,0,0.77,0.77,0,0.77,13.02,0,3.83,2.3,130.21,0,0,3.06,0,1.53,0.77,0,0.77,0,0,3.83,0.77,0.77,0,1.53
120,0,0,0,0,0,0,88.19,1.96,0,1.96,54.87,0,0,1.96,0,0,0,11.76,0,1.96,1.96,139.14,1.96,0,1.96,0,0,0,0,3.92,1.96,0,5.88,0,0,0,0
