stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature
  3-4,39.53,276.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0
  5-6,24.52,177.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,6.13,12.26,0,0,0,0,0,0,0,0
  7-9,0,5.26,5.26,0,2.63,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.75,0,0,0,26.29,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,3.15,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138.47,3.15,0,0,50.35,0,6.29,0,12.59,0,0,0,0,0
 14-21,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,15,1,0,1,0,1,0,2,0,0,2,10,0,0
 24-34,0,0,0.82,4.1,0,2.46,0,0,0,0,0,0,0,0,0,0,0.82,0,1.64,0,4.93,33.66,0,1.64,0.82,0,0.82,0.82,0,1.64,0,0,11.49,0,0
 36-46,0,0,0,0,0,1.61,0,0,0,1.61,0,0,0,0,0,0,0,0,6.45,0,3.22,52.37,0,0,2.42,0,0.81,0,0,0,0,0,14.5,0,0
 48-58,0,0,0,0.57,0,6.89,0.57,0,0,3.44,0,0.57,0,0,0,0,0,0,5.74,0,1.15,43.04,0,0,0,0,0,0,0,0,0.57,0,8.03,0,1.15
 60-70,0,0,0,0.98,0,18.65,0.98,0,0,0.98,0,0,0,0,0.98,0,0,0,4.91,0,0,54.97,0,0,0,0,0,0,0,0.98,0,0,5.89,0.98,1.96
 72-82,0,0,0,0,0.98,26.5,0,0,2.94,7.85,0.98,0.98,0,0.98,0,0,0,0,5.89,0,1.96,44.17,0,0,0.98,0,0,0,0,0,0.98,0,6.87,0,0
 84-94,0,0,0,2.12,0,14.87,0,0,0,4.25,0,0,0,1.06,0,0,1.06,0,12.74,0,0,31.86,0,1.06,0,0,0,0,0,2.12,0,0,3.19,0,1.06
 96-106,0,0,0,1.09,1.09,4.37,0,0,0,4.37,0,1.09,1.09,0,0,0,0,0,10.93,1.09,2.19,21.86,0,2.19,1.09,0,0,0,0,0,0,0,1.09,0,0
108-118,0,0,0,0.77,0,7.66,0,0,0,3.83,0.77,0.77,0.77,0,0.77,0.77,0,0.77,7.66,0,0,18.38,0.77,0,0.77,0,0.77,0,0,0,0,0,0,0.77,0.77
120,0,0,0,0,0,1.96,1.96,1.96,0,1.96,0,0,0,0,0,0,0,0,3.92,0,0,25.48,1.96,0,0,0,0,0,0,0,0,0,0,0,1.96
