stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,131.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,79.69,98.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,18.39,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.89,13.14,0,0,0,0,76.23,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,509.97,42.06,0,0,73.6,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,75.53,0,15.73,0,0,132.17,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,2520.72,53.5,0,0,289.52,0,0,3.15,6.29,0,0,12.59,0,0,0,0,0
 14-21,0,0,0,0,16,1,5,0,0,0,127,0,1,0,0,0,0,0,0,2,0,0,5,2664,5,0,0,11,1,0,7,3,0,9,1374,0,0,0,0,0
 24-34,0,0,0,0,6.57,1.64,22.98,0.82,0.82,0.82,169.1,0,0,0.82,0,0.82,0,1.64,0,9.85,0,0,9.03,2958.37,2.46,1.64,1.64,0,1.64,0,0.82,0.82,0.82,3.28,1296.95,0,0,2.46,0,1.64
 36-46,0,0,0.81,0,4.03,1.61,13.7,0,0,0,246.53,0,0,0,0,0,0,0,1.61,4.83,0,0,3.22,1791,0.81,0.81,1.61,0,4.03,0,0,1.61,0,0.81,1024.81,0,0,3.22,0,0.81
 48-58,0,0,0,0,2.3,0,35.58,0.57,0.57,0.57,372.4,0.57,0,0,0.57,0,0,0,0.57,10.9,0,0,1.72,639.22,0.57,0.57,0,0,1.72,0,0,0,0,0,637.5,0,0,0.57,0,0
 60-70,0,0,0,0,2.94,0.98,15.7,0,0,0,367.09,0.98,0,0,1.96,0,0,0.98,0,5.89,0,0,3.93,228.69,0,0,0,0,0.98,0,0,0,0,0,233.6,0,0,1.96,0,0
 72-82,0,0,0,0,1.96,0.98,28.47,0,0,0,463.34,0,0,0,0,0.98,0,0.98,0.98,11.78,0,0,2.94,164.92,0,0,0,0,0.98,0,0,0,0,0,101.11,0.98,0,0,0,0
 84-94,0,0,0,0,2.12,0,27.61,0,0,0,261.26,0,0,0,1.06,1.06,1.06,0,0,3.19,0,0,3.19,99.83,0,0,0,0,1.06,0,0,0,0,0,101.96,0,0,0,0,0
 96-106,0,0,0,0,8.74,1.09,19.67,0,2.19,0,275.4,1.09,0,0,2.19,0,0,0,0,2.19,0,0,3.28,78.68,2.19,0,0,0,0,0,0,0,1.09,0,79.78,0,1.09,0,0,0
108-118,0,0,0,0,1.53,1.53,14.55,0,0.77,0,261.96,0,0,0,0,0,0.77,0,0,6.13,0.77,0,0.77,106.47,0,0,0,0,2.3,0,0,0,0,0,57.45,0,0,0,0.77,0
120,0,0,0,0,5.88,0,5.88,0,0,0,266.53,0,0,0,3.92,0,0,0,0,1.96,0,1.96,5.88,133.27,0,0,0,0,0,0,0,0,0,0,37.24,0,1.96,0,0,1.96
