stage,blastomeres,epidermis,eye,glial,gut,immune,mesenchyme,mucous,muscle,neural,olfactory,paraxial.mesoderm,spinal.cord,taste,vasculature,xanthophores
  3-4,184.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0
 10-12,3.15,0,0,0,0,0,0,0,0,6.29,0,3.15,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
 24-34,0,0,0.82,0,0,0,0,0,0,4.1,0,0,0.82,0,0,0
 36-46,0,0,0.81,0,0,0.81,0,0,0,4.83,0.81,0,0.81,0,0,0
 48-58,0,0,1.15,0,0,1.15,0,0,0,3.44,0,0,3.44,0,0,0
 60-70,0,0.98,3.93,1.96,0,5.89,0,0,0.98,9.82,0,0,4.91,0,0,0
 72-82,0,0,4.91,1.96,0,10.8,0,0,0,7.85,0,0,2.94,0,0.98,0
 84-94,0,0,1.06,0,0,13.81,1.06,0,0,10.62,0,0,0,0,0,0
 96-106,0,0,3.28,1.09,1.09,17.49,0,0,0,2.19,0,0,0,0,0,0
108-118,0,0,0.77,0,1.53,15.32,1.53,0.77,0,6.13,0.77,0,0,0.77,1.53,0.77
120,0,0,5.88,0,0,11.76,0,0,0,9.8,0,0,1.96,0,0,0
