stage,axial,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,6.29,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,31.47,3.15,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,24,6,6,0,0,0,0,8,0,0,8,0,0,0,0,3,1,0,0,11,0,1,0,0,0,0,0,1,0,0,2,8,0,0,10,0,0
 24-34,0,0,15.6,4.93,9.85,0,0,0,0,11.49,0.82,0.82,27.91,1.64,0,0.82,1.64,3.28,4.1,0,0,9.85,0.82,0,0,0,0,0,0,0,0,0,0.82,1.64,0,0,23.8,0,2.46
 36-46,0,0,18.53,1.61,3.22,0,0,0.81,0,0,0,0,4.83,0.81,0,0,0,2.42,4.03,0.81,0,9.67,0.81,0,0,0,0,1.61,0,0,0,0,0,3.22,0,0,12.09,0,0
 48-58,0,0,79.76,2.87,6.31,18.36,1.72,0,0,0.57,0.57,0.57,2.87,0,0,0.57,0.57,16.64,1.72,0,5.74,7.46,2.87,0,0,0,0,0,0,0,0,0,0,1.15,0,0,9.75,0,1.72
 60-70,0,0,83.43,2.94,4.91,22.58,0.98,5.89,0.98,0.98,0,1.96,1.96,0,0,0,1.96,34.35,1.96,0,4.91,5.89,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0.98,6.87,0,0.98
 72-82,0,0,227.75,6.87,20.61,49.08,6.87,13.74,2.94,0.98,0.98,6.87,6.87,0,6.87,0,0,142.34,6.87,2.94,4.91,19.63,5.89,2.94,0,0,0,0.98,0,0,0,0,0,0,5.89,1.96,15.71,2.94,1.96
 84-94,0,0,386.58,6.37,9.56,80.71,7.43,12.74,18.05,0,0,16.99,9.56,6.37,1.06,0,1.06,117.89,15.93,2.12,2.12,8.5,4.25,4.25,0,0,0,0,0,0,0,0,0,0,20.18,1.06,13.81,0,1.06
 96-106,0,0,699.42,19.67,31.69,124.58,5.46,29.51,46.99,0,4.37,22.95,10.93,1.09,10.93,1.09,0,218.57,14.21,7.65,8.74,38.25,8.74,15.3,2.19,0,4.37,3.28,1.09,0,0,0,0,3.28,49.18,6.56,33.88,2.19,0
108-118,0.77,0,1073.11,3.06,41.36,207.58,9.96,32.94,47.49,0,0,27.57,15.32,9.19,8.43,6.13,0.77,245.11,15.32,1.53,24.51,43.66,12.26,19.15,6.89,0,2.3,6.13,0,0,1.53,0.77,0,3.06,68.94,2.3,39.06,5.36,0
120,0,0,676.13,1.96,29.4,148.94,13.72,21.56,41.16,1.96,1.96,13.72,13.72,0,5.88,13.72,1.96,199.9,11.76,5.88,21.56,56.83,13.72,11.76,13.72,0,3.92,1.96,0,0,1.96,0,0,3.92,23.52,3.92,23.52,1.96,1.96
