stage,axial,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,2,29,6,0,33,0,0,0,6,1,0,0,0,1,0,0,0,28,0,0,15,314,3,0,4,6,0,2,47,2,0,57,93,0,0,0,0,0
 24-34,0,0.82,2.46,8.21,3.28,0,64.03,0,0,0.82,4.93,0,0,0.82,0,0.82,0,0,0,36.12,0,0,12.31,318.49,2.46,4.1,2.46,0,0,2.46,0.82,0.82,0,8.21,50.89,0,0,0.82,0,0
 36-46,0,0.81,0,4.03,0,0,73.32,0,0.81,0.81,11.28,0,0,0,0,0,0,0.81,0.81,38.67,0,0.81,11.28,236.87,0.81,4.03,0.81,0,0,0.81,0,0,0,0,31.42,0,0,0.81,0,0
 48-58,0.57,0,0,2.87,0,0,76.89,1.15,0,0.57,27.54,0.57,0,1.15,0,0,0,0.57,0.57,44.18,0,4.02,17.21,159.52,0.57,0.57,2.3,0,0,1.15,0,0,0,0,26.4,0,0,2.3,0,0
 60-70,0,0,0,0.98,0,0,78.52,0,0,1.96,30.43,0,0,0,0,0,0,0,0,28.46,0,2.94,8.83,148.21,0,0.98,1.96,0,0.98,0.98,0,0,0.98,0,20.61,0,0,0,0,0.98
 72-82,0,0,0,2.94,0,0,59.88,0,0,5.89,31.41,1.96,0,0,1.96,0,0,1.96,0,39.27,0,1.96,15.71,110.93,0,4.91,1.96,0,0,3.93,0,0,0,0,14.72,0.98,1.96,3.93,0,0
 84-94,0,0,0,7.43,0,2.12,54.16,0,1.06,3.19,13.81,2.12,1.06,1.06,1.06,2.12,1.06,3.19,0,37.17,0,0,13.81,58.41,0,1.06,0,0,0,8.5,0,0,0,0,6.37,1.06,0,2.12,0,0
 96-106,1.09,0,0,9.84,2.19,0,34.97,0,0,2.19,24.04,2.19,0,0,6.56,2.19,1.09,2.19,1.09,45.9,0,1.09,9.84,66.66,0,3.28,0,0,0,7.65,0,1.09,1.09,0,2.19,1.09,0,2.19,0,1.09
108-118,0,0,0,13.79,3.06,1.53,24.51,0,2.3,1.53,23.74,1.53,0,1.53,6.89,2.3,0.77,0.77,0.77,51.32,0.77,0.77,19.15,101.11,2.3,0,0.77,0,0,13.02,0,0.77,0,0,2.3,0.77,0,3.83,0.77,0.77
120,0,0,0,11.76,5.88,0,17.64,0,1.96,0,29.4,1.96,0,0,3.92,1.96,1.96,0,0,39.2,1.96,0,19.6,78.39,0,1.96,1.96,0,1.96,5.88,0,1.96,0,0,1.96,0,0,5.88,0,0
