stage,blastomeres,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,lateral.line,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,somites,spinal.cord
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,0,7.89,0,0,0,7.89,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,18.88,0,0,0,9.44,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,2,0
 24-34,0,0,1.64,0,0,0,0,0.82,0.82,0,0.82,1.64,13.95,0,0.82,0.82,0,0.82,0.82,5.75
 36-46,0,0,0,0,0,0,0,0,0,0,1.61,0.81,4.83,1.61,0,0,0,0,0,0
 48-58,0,0,0,0,0.57,0,0,0,0,0,0,0,2.87,0,0,0,0,0,0,1.15
 60-70,0,0,0.98,1.96,0,0.98,0,0,0,0,0,0,2.94,0,0,0,0,0,0,0
 72-82,0,0,1.96,0,0,0,0,0,0,0.98,0.98,0,0.98,0,0,0,0,0,0,0
 84-94,0,2.12,2.12,0,0,1.06,0,0,0,0,0,1.06,2.12,0,0,0,0,0,0,1.06
 96-106,0,0,0,0,0,0,1.09,0,0,0,1.09,2.19,0,0,0,1.09,0,0,0,0
108-118,0,0,0.77,0,0,1.53,0.77,0,0,0,0,0.77,0.77,0,0,1.53,0,0,0,0
120,0,0,1.96,0,0,0,0,0,0,0,1.96,1.96,1.96,0,0,0,0,0,0,0
