stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,xanthophores
  3-4,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,3.15,0,0,3.15,0,6.29,0,0,0,0,0
 14-21,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,2,4,0,0,0,0,0,1,6,1,0,4,8,0,0
 24-34,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0.82,6.57,0,0,0,0,0.82,0,0,0.82,0,10.67,2.46,0.82,0
 36-46,0,0,1.61,0,0,1.61,0.81,0,0,0,0,0,0,0,0.81,1.61,0,1.61,4.83,0,0,0,0,0,0,0,2.42,0,0,4.03,0,0
 48-58,0,0,1.72,0,3.44,11.48,0,1.15,0.57,0.57,0,0,0,0.57,0,2.87,0,4.02,9.18,0,0,0,0,0,0,0,0.57,8.03,0,2.3,0,0.57
 60-70,0,0,0,0,7.85,9.82,0,0,0,0,0,0,0.98,0,0,1.96,0,3.93,10.8,0,0,0,0,0,0,0,0.98,5.89,0,0,0,0
 72-82,0,0,1.96,0,7.85,17.67,0,0,0.98,0,0,0.98,0,0,0,2.94,0,6.87,13.74,0,0,0,0,0.98,0,0,0,17.67,0,0,0,0
 84-94,0,0,1.06,1.06,2.12,14.87,0,1.06,0,0,0,0,0,0,0,1.06,0,4.25,10.62,0,0,0,0,1.06,0,0,1.06,25.49,0,2.12,1.06,0
 96-106,0,0,3.28,3.28,14.21,81.96,0,0,7.65,1.09,2.19,2.19,1.09,0,0,9.84,1.09,5.46,20.76,2.19,2.19,0,0,5.46,0,0,2.19,45.9,0,1.09,1.09,0
108-118,0,0,3.83,1.53,3.06,61.28,0.77,0.77,6.13,0,0,1.53,0,0,0.77,5.36,0.77,12.26,16.09,0,0,0,1.53,0.77,0,0,0.77,53.62,0,0.77,0.77,0
120,0,0,1.96,0,0,45.08,0,0,3.92,0,0,1.96,0,0,0,7.84,1.96,5.88,13.72,0,0,0,0,1.96,0,1.96,0,19.6,0,0,1.96,0
