stage,axial,blastomeres,endocrine.pancreas,endoderm,exocrine.pancreas,eye,fin.mesenchyme,glial,heart,immune,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,otic,paraxial.mesoderm,periderm,pgc,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,1,1,3,4,0,0,0
 24-34,0,0,0.82,0,0,2.46,0,0,0,0,0,0,0.82,0,0,0,1.64,0.82,0,0,0,0,2.46,0,0,0
 36-46,0,0,0,0,0,3.22,0,0,0,0,0,0.81,2.42,0,0,0.81,4.03,0,0,0,0,0,1.61,0,0.81,0
 48-58,0,0,0,0.57,0,0.57,0,0,0,0,0,0,6.89,0,0,0.57,0.57,0.57,0,0,0,0,2.87,0,0,0
 60-70,0,0,0,0,0,3.93,0,1.96,0,0,0,0,20.61,0.98,0,0.98,3.93,0,0,0,0,0,3.93,0,0,0
 72-82,0,0,0.98,0,0,2.94,0,1.96,0,0,0,0,33.38,0,0.98,1.96,3.93,0,0,0,0,0,0,1.96,0,0
 84-94,0,0,0,0,0,1.06,0,0,0,0,0,0,15.93,0,1.06,0,2.12,0,0,0,0,0,1.06,0,0,0
 96-106,0,0,0,0,1.09,1.09,0,2.19,1.09,0,0,0,26.23,0,1.09,1.09,2.19,2.19,0,0,0,0,0,0,0,2.19
108-118,0,0,0,0,0,2.3,0.77,6.89,0,0.77,0.77,0,28.34,0,0,0.77,0.77,0,0,0,0,0,0,1.53,0,0
120,0,0,0,0,0,1.96,0,1.96,1.96,0,0,0,31.36,0,0,0,1.96,0,0,0,0,0,0,3.92,0,0
