stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,224.02,2714.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1159.66,0,0,0,0,0,0,0,0,0,0,0
  5-6,600.7,2206.67,18.39,0,0,0,0,0,0,0,0,0,73.56,0,0,0,0,0,0,0,0,0,0,0,704.91,49.04,0,0,196.15,0,649.74,0,0,0,0,0,0,0,0,0,0,0
  7-9,470.54,102.52,286.53,0,7.89,0,28.92,0,0,0,0,0,352.25,0,0,0,0,0,0,0,0,0,0,0,638.78,373.28,0,0,2747.01,0,73.6,21.03,0,5.26,0,0,0,0,0,0,0,0
 10-12,9.44,62.94,229.73,0,72.38,0,44.06,0,0,0,0,0,59.79,0,0,0,0,0,3.15,0,0,0,0,0,1438.16,188.82,0,0,2413.73,0,22.03,9.44,18.88,132.17,0,47.2,0,0,0,0,0,0
 14-21,0,2,2,1097,113,0,86,0,23,0,1,2,2,6,0,2,0,0,0,0,141,3,0,99,140,2,3,35,38,0,27,0,659,0,23,429,27,0,0,55,0,0
 24-34,0,0,1.64,673.92,9.85,0,83.73,0,62.39,9.03,0,0.82,0,13.13,0,1.64,0,0,0,0,175.66,6.57,0,29.55,96.04,0,13.13,1.64,0,0,0.82,0,3.28,0,13.13,73.88,11.49,0,0,210.96,0,0
 36-46,0,0,0.81,302.93,2.42,0,124.88,0,16.92,9.67,5.64,0,0,22.56,0.81,0,0,2.42,0.81,0,140.99,4.83,4.03,37.87,101.51,1.61,6.45,1.61,0,0,0.81,0,0,0,7.25,0,11.28,0,0,156.3,0,0
 48-58,0,0,0,264.52,0.57,0,293.79,0.57,12.05,11.48,25.25,0.57,0.57,30.41,0,0,0,1.15,0,0.57,144.03,4.02,3.44,28.69,105.01,0,7.46,2.3,0,0.57,1.15,0,0,0,2.3,0,9.75,0,2.3,114.19,0,0.57
 60-70,0,0,0,190.42,0.98,0,257.16,3.93,1.96,20.61,46.13,0,0,27.48,2.94,1.96,0,4.91,0,0,198.27,2.94,4.91,24.54,87.36,0,4.91,1.96,0,4.91,0.98,0,0,0,2.94,0,2.94,2.94,4.91,111.89,0,0
 72-82,0,0,0,171.79,4.91,0,214,3.93,6.87,19.63,40.25,0,0,40.25,0.98,0.98,0,3.93,0,0,217.93,1.96,2.94,16.69,61.84,0,9.82,1.96,0,0.98,0.98,0,0,0,1.96,0,3.93,8.83,10.8,191.42,2.94,0.98
 84-94,0,0,0,332.42,2.12,0,227.28,10.62,13.81,20.18,16.99,4.25,0,21.24,0,6.37,0,8.5,0,0,148.69,3.19,5.31,21.24,46.73,1.06,10.62,4.25,0,2.12,1.06,0,0,0,4.25,0,2.12,43.54,4.25,201.79,1.06,1.06
 96-106,0,0,0,348.62,15.3,1.09,222.94,9.84,24.04,25.14,17.49,12.02,0,44.81,0,3.28,1.09,9.84,1.09,0,148.63,4.37,5.46,18.58,50.27,0,15.3,3.28,0,5.46,2.19,0,0,1.09,3.28,0,0,79.78,8.74,215.29,2.19,0
108-118,1.53,0,0,210.64,1.53,2.3,196.85,6.89,13.02,17.62,16.85,5.36,0,19.92,0.77,3.83,0,6.13,1.53,0,140.17,2.3,3.06,8.43,53.62,0,11.49,3.06,0,4.6,3.06,0,0,1.53,0.77,0,0,97.28,4.6,154.72,1.53,0.77
120,0,0,0,205.78,0,3.92,184.22,1.96,7.84,11.76,21.56,5.88,0,17.64,1.96,1.96,0,3.92,1.96,0,97.99,0,1.96,9.8,84.27,0,5.88,0,0,1.96,3.92,0,0,0,0,0,0,23.52,3.92,137.18,1.96,0
