stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,heart,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,vasculature,xanthophores
  3-4,39.53,263.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,91.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,7.89,2.63,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,47.32,0,0,0,23.66,0,0,0,0,0,0
 10-12,0,3.15,0,0,3.15,9.44,0,0,0,0,0,0,0,0,0,0,0,0,78.67,3.15,0,0,22.03,0,0,0,0,0,0
 14-21,0,0,0,6,1,2,0,2,0,0,0,0,0,0,3,0,0,0,16,0,0,0,0,1,3,4,11,0,0
 24-34,0,0,0,2.46,0,6.57,0,0,0.82,0,0,0.82,0,0.82,3.28,0,0,1.64,31.19,0,0,0,0,0,0,0,1.64,0,0
 36-46,0,0,0,0,0.81,4.03,0.81,0.81,0,0,0,0,0,0,3.22,0,0,1.61,12.89,0.81,0,0.81,0,0.81,0,0,2.42,0,0
 48-58,0,0,0,0.57,0,6.89,0,0,0,0,0,0,0,0,2.3,0,0.57,0,12.62,0,0,0,0,0,0,0,1.72,0.57,0.57
 60-70,0,0,0,1.96,0,7.85,0,1.96,0,0,0,0.98,0.98,0,2.94,0,0,0.98,11.78,0,0,0,0,0.98,0,0,1.96,0,0.98
 72-82,0,0,0,0.98,0,6.87,0,1.96,0,0,0,0,0,0,4.91,0,0,0.98,4.91,0,0,0,0,0.98,0,0,0.98,0,0
 84-94,0,0,0,0,0,5.31,1.06,0,0,0,0,0,0,0,1.06,0,1.06,0,4.25,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,1.09,0,0,0,0,1.09,0,0,0,7.65,0,0,1.09,3.28,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0.77,0,0.77,0,0.77,0,0,0,0,0,0.77,0,0.77,2.3,0,0.77,0,0,0.77,0,0,0,0,0
120,0,0,0,1.96,0,3.92,0,3.92,0,0,0,0,0,0,1.96,0,0,0,9.8,0,0,0,0,0,0,0,0,0,0
