stage,axial,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,1,0,19,5,0,1,0,0,0,2,1,0,0,0,0,0,0,0,9,0,0,3,48,1,0,0,0,3,0,2,0,1,3,17,0,0,2,0,0
 24-34,0,0.82,0,31.19,0.82,0,18.88,0.82,3.28,0.82,4.1,0.82,1.64,0,2.46,0,0.82,0.82,2.46,22.16,2.46,0,13.95,154.32,4.93,0.82,4.1,0,9.85,0,0,1.64,2.46,3.28,57.46,0,0,27.91,0,1.64
 36-46,0,0,0,19.34,0.81,0,33.03,0.81,2.42,2.42,16.11,0.81,2.42,0.81,0.81,0.81,3.22,0,1.61,37.06,0.81,0.81,6.45,136.16,4.83,3.22,5.64,0.81,10.47,0.81,0,0.81,0.81,0,29,0,0,12.89,0,1.61
 48-58,0,0,0,12.62,0.57,0,70.58,1.15,4.02,2.87,17.79,1.15,0,0,0,0,0,0.57,1.15,37.3,0,2.3,6.89,100.42,1.15,1.72,1.72,0.57,6.89,0,0,2.87,0,0,28.69,0,0,6.31,0,2.3
 60-70,0,0,0,8.83,0,0,54.97,0,1.96,0,21.59,3.93,0,1.96,1.96,0.98,0.98,0.98,0,59.87,1.96,0.98,7.85,73.61,2.94,0.98,0.98,0.98,13.74,0,0,2.94,0,0,10.8,0,0.98,6.87,0,0.98
 72-82,0,2.94,0,23.56,3.93,0,109.95,0,1.96,4.91,33.38,4.91,1.96,0.98,0,2.94,3.93,0,0,99.15,1.96,2.94,11.78,99.15,1.96,2.94,2.94,0,4.91,0,0,10.8,0.98,0,8.83,0.98,5.89,18.65,5.89,1.96
 84-94,1.06,1.06,0,27.61,1.06,0,65.85,1.06,4.25,2.12,16.99,7.43,1.06,2.12,3.19,0,1.06,0,4.25,49.92,4.25,5.31,7.43,33.99,0,3.19,5.31,0,16.99,0,0,14.87,0,0,9.56,1.06,3.19,12.74,2.12,1.06
 96-106,0,2.19,0,18.58,3.28,0,37.16,1.09,2.19,1.09,18.58,0,1.09,2.19,1.09,1.09,0,0,0,41.53,1.09,3.28,7.65,37.16,1.09,5.46,3.28,2.19,21.86,0,0,10.93,0,0,3.28,1.09,1.09,15.3,1.09,2.19
108-118,0,0.77,0.77,15.32,0.77,0.77,19.92,0.77,6.13,0.77,13.02,2.3,1.53,0.77,0.77,2.3,1.53,1.53,0.77,47.49,0.77,0.77,2.3,29.87,1.53,1.53,3.06,1.53,8.43,0,0,6.89,0,0,1.53,2.3,0.77,7.66,0,0.77
120,0,0,0,25.48,0,3.92,37.24,3.92,7.84,1.96,13.72,1.96,1.96,3.92,0,0,3.92,0,0,27.44,0,3.92,11.76,76.43,1.96,0,3.92,0,13.72,0,0,13.72,0,0,3.92,0,0,5.88,3.92,0
