stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,197.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.35,0,0,0,6.29,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,6,69,36,1,0,0,3,2,3,0,8,0,0,0,7,0,0,1,16,8,0,4,4,0,0,10,1,2,18,0,0,32,0,1
 24-34,0,0,1.64,1.64,15.6,7.39,4.1,0.82,0,23.8,0,2.46,0,20.52,0,2.46,0,12.31,0,0,4.1,38.58,0,0.82,4.93,0,0,2.46,0,0.82,1.64,45.97,0,0,76.34,0,13.95
 36-46,0,0,0,0,4.83,0,6.45,1.61,0,39.48,0,1.61,0,6.45,0,0,0,12.09,0,0,0,38.67,0,2.42,7.25,0,0,1.61,0,0.81,0,36.26,0,0,23.36,0,29.81
 48-58,0,0,0,0,0,0,8.61,0.57,1.15,34.43,0,1.15,0,2.87,0,0,0.57,17.21,0,0.57,1.15,22.95,0,1.15,1.15,0,0.57,0,0,0,0,21.8,0,0,18.36,0,28.12
 60-70,0,0,0,0,0,0,15.7,1.96,0,28.46,0,0,0,1.96,0.98,0,0,21.59,0,0.98,0,18.65,0,0.98,4.91,0,0,0,0,0,0,9.82,0,0,14.72,0.98,19.63
 72-82,0,0,0.98,0,1.96,0.98,90.31,0.98,5.89,30.43,0,0.98,0,5.89,0,0,0,39.27,0,0.98,0.98,44.17,0,0,2.94,0,0.98,1.96,0,0,0,17.67,0,3.93,34.36,0,24.54
 84-94,0,0,0,0,8.5,0,71.16,3.19,4.25,22.3,2.12,0,0,19.12,1.06,1.06,2.12,25.49,0,0,1.06,21.24,0,0,3.19,0,0,3.19,0,0,0,5.31,0,0,28.68,1.06,23.36
 96-106,0,0,1.09,0,10.93,0,95.08,6.56,1.09,22.95,5.46,4.37,1.09,14.21,1.09,2.19,2.19,25.14,1.09,0,0,29.51,0,3.28,5.46,0,0,2.19,0,0,0,13.11,0,2.19,36.06,1.09,25.14
108-118,0.77,0,0.77,0.77,7.66,0.77,71.23,3.06,6.89,32.94,0.77,0,1.53,11.49,2.3,2.3,2.3,22.21,0,1.53,0,30.64,0,3.83,4.6,0,0,1.53,0,0,0,9.96,0.77,0,12.26,0.77,28.34
120,0,0,0,0,7.84,0,56.83,0,1.96,17.64,1.96,0,0,1.96,1.96,1.96,0,7.84,0,0,0,41.16,0,3.92,1.96,0,0,0,0,0,0,1.96,0,0,13.72,1.96,9.8
