stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,liver,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,paraxial.mesoderm,pericytes,periderm,pronephros,spinal.cord,vasculature,visceral.smooth.muscle
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0
 10-12,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.03,0,3.15,0,0,6.29,0,0,0
 14-21,0,0,0,10,4,0,0,0,0,0,0,0,0,0,0,8,0,0,1,7,0,0,0,0,0,2,1,0
 24-34,0,0,3.28,4.93,0,0,0,0,0,0,0,0.82,3.28,0,0,11.49,0,0,3.28,4.1,0,0,0,0,0,0.82,6.57,0
 36-46,0,0,0,1.61,0,0,0.81,0,0.81,0.81,0,0,2.42,0,0,5.64,0,1.61,1.61,6.45,0.81,0,0,0,0,0.81,8.06,0
 48-58,0,0,0,2.87,0,0,2.3,0,0,0.57,0,0,1.72,0,0,4.02,0.57,0.57,1.72,5.74,0.57,0,0,0.57,0,0.57,4.02,0
 60-70,0,0,0,1.96,0,0,0,0,0,0.98,0,0,1.96,0.98,0,6.87,0,0,3.93,12.76,2.94,0,0.98,0,0,0.98,8.83,0
 72-82,0,0,0,4.91,0,0,0.98,0,0,0,0.98,0.98,1.96,0,0,13.74,0,3.93,0.98,5.89,0.98,0,1.96,0,0,0,12.76,1.96
 84-94,0,0,0,7.43,0,1.06,5.31,1.06,3.19,2.12,0,0,3.19,1.06,0,6.37,0,2.12,1.06,6.37,1.06,0,0,0,0,1.06,15.93,0
 96-106,0,1.09,0,6.56,0,0,2.19,1.09,2.19,0,1.09,1.09,1.09,1.09,0,4.37,0,3.28,0,5.46,0,0,1.09,0,0,0,8.74,0
108-118,0,0,0,13.02,0,3.83,3.83,0,6.89,0,0,1.53,1.53,2.3,0.77,5.36,0,3.83,1.53,2.3,0,0,0.77,0,0,0,14.55,0
120,0,0,0,25.48,1.96,0,1.96,1.96,0,0,1.96,0,0,1.96,0,3.92,0,1.96,1.96,5.88,0,0,3.92,0,0,0,11.76,1.96
