stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,92.25,342.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.89,0,0,0,0,0,0,0,0,0,0,0
  5-6,42.91,1225.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.17,12.26,0,0,6.13,0,18.39,0,0,0,0,0,0,0,0,0,0,0
  7-9,10.51,131.44,144.58,0,0,13.14,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,3333.21,86.75,0,0,1117.2,0,2.63,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,56.65,119.58,0,3.15,18.88,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,2036.09,40.91,0,0,374.49,0,0,0,0,6.29,0,0,3.15,0,0,0,0,0
 14-21,0,0,16,129,8,6,0,0,0,8,2,0,1,0,4,0,0,1,79,0,0,51,1805,2,0,40,9,0,1,0,7,3,2,19,863,0,0,1,0,0
 24-34,0,0,4.1,13.13,0.82,13.13,0,0,0.82,14.78,0,0,0,0,0,0,0,0.82,41.04,0,0,14.78,2168.7,0,1.64,5.75,0,0,0.82,0,0,1.64,0,7.39,758.47,0,0,7.39,0,0
 36-46,0,0,0,4.83,0,16.92,0,0,2.42,42.7,0,0,0,0,0.81,0,0,0,10.47,0,0,5.64,1681.43,1.61,0.81,1.61,0,0,2.42,0,0,0,0,0,630.84,0,0,0.81,0,0.81
 48-58,0,0,0,5.74,0.57,43.04,0,0.57,1.15,158.94,0,0,0,0.57,0,0,1.15,0.57,18.36,0,0.57,5.74,1050.06,1.72,2.3,1.15,0,0,1.15,0,0,0.57,0,0,367.81,0,0,2.3,0,1.15
 60-70,0,0,0,1.96,0,24.54,0,0,0.98,170.78,0,0,0.98,0,0,0.98,0,0.98,15.7,0,1.96,0.98,460.33,0,0.98,0.98,0,0.98,1.96,0,0,0,0,0,113.86,0,0.98,1.96,0,0.98
 72-82,0,0,0,2.94,4.91,57.92,0,1.96,0,284.68,0,0,0,0.98,0,0.98,0,0,42.21,0,0.98,4.91,316.1,0,0.98,0,0,0.98,0.98,0,0,0,0,0,39.27,0.98,0,0.98,0.98,1.96
 84-94,0,0,0,7.43,0,40.36,1.06,0,2.12,173.11,0,1.06,1.06,1.06,0,1.06,1.06,0,19.12,0,0,2.12,163.55,0,0,0,0,0,3.19,0,0,0,0,0,29.74,0,0,1.06,0,1.06
 96-106,0,0,0,4.37,1.09,33.88,1.09,1.09,1.09,168.3,1.09,0,1.09,2.19,0,1.09,0,0,26.23,0,0,0,107.1,0,1.09,0,0,0,2.19,0,0,0,0,0,14.21,2.19,1.09,0,0,0
108-118,0,0,0,3.83,0.77,13.79,0,0,0,163.15,0.77,0,0,0,0,0,0.77,0,17.62,0.77,0,3.06,156.26,0,0,0.77,0,0,1.53,0,0,0,0,0,17.62,0.77,1.53,0,0,0
120,0,0,0,1.96,3.92,7.84,0,1.96,0,103.87,0,0,0,0,0,0,0,0,15.68,0,0,0,160.7,0,0,0,0,0,1.96,0,0,0,0,0,9.8,0,0,0,0,0
