stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,0,0,0,21.03,0,0,0,2.63,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,13.14,0,0,0,2.63,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,18.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.56,12.59,0,0,6.29,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,3,98,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0,1,11,0,1,3,0,1,0,0,5,0,0,2,0,0
 24-34,0,0,0,1.64,155.14,0.82,0,0.82,17.24,0,0.82,0.82,0,0.82,0.82,0,0,0,0,0,2.46,0.82,0,19.7,0,1.64,2.46,0,1.64,0,0.82,4.1,0,0,3.28,0,1.64
 36-46,0,0,0,0.81,82.18,0,0,0.81,21.75,0,0.81,0,0,0.81,0,0.81,0,0,0,0,1.61,1.61,0,14.5,0,0,4.83,0,0,0,0.81,1.61,0,0,3.22,0,2.42
 48-58,0,0,0,0,52.79,0,0,3.44,23.53,0.57,2.3,0,0.57,1.72,0,0,0,1.15,0.57,0,3.44,0.57,0.57,11.48,0,0.57,4.59,0,1.15,0,0,3.44,0,0,4.02,0,1.72
 60-70,0,0,0,0,65.76,0,0,2.94,16.69,0,9.82,0.98,0.98,0,1.96,1.96,0.98,0,0,0,10.8,0.98,0.98,9.82,0,0,0.98,0,0.98,0,0.98,1.96,0,0,3.93,0,0
 72-82,0,0,0.98,0,71.66,0,0,4.91,20.61,0,9.82,3.93,0,0.98,1.96,0.98,0,1.96,0.98,0,14.72,0.98,0,7.85,0,0.98,6.87,0,0,0,0.98,0,0,0.98,2.94,0,0
 84-94,1.06,0,1.06,0,174.17,0,0,2.12,57.35,1.06,2.12,9.56,1.06,0,4.25,2.12,0,2.12,0,0,10.62,2.12,0,7.43,0,0,4.25,0,1.06,0,1.06,1.06,2.12,1.06,7.43,1.06,0
 96-106,0,0,0,0,130.05,2.19,1.09,2.19,32.79,1.09,3.28,8.74,0,1.09,19.67,5.46,0,2.19,2.19,1.09,16.39,2.19,0,3.28,0,2.19,6.56,0,2.19,0,1.09,0,2.19,0,7.65,0,0
108-118,0,0,0.77,0,122.55,0,1.53,2.3,43.66,0.77,4.6,4.6,0,0,16.85,3.06,0,0,0.77,0,15.32,1.53,1.53,4.6,0,4.6,6.13,0,1.53,0,0,0,2.3,0.77,10.72,0,0.77
120,0,0,0,0,99.95,0,0,3.92,31.36,1.96,1.96,7.84,0,0,23.52,0,0,1.96,0,0,1.96,0,0,5.88,0,3.92,1.96,0,0,0,0,1.96,3.92,0,11.76,0,0
