stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,61.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.66,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,0,3.15,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,25.18,0,0,0,12.59,0,0,0,0,6.29,0,0,0,0,0,0,0
 14-21,0,0,1,2,1,0,5,0,0,0,3,0,0,0,1,0,0,0,1,2,0,0,3,41,3,0,0,2,0,2,1,3,0,2,17,0,0,0,0,0
 24-34,0,0,0,0.82,2.46,0,6.57,0,0,0,0,0,0,1.64,0.82,0,0,0.82,1.64,6.57,0,0,0.82,48.43,0.82,1.64,0,0,0,0,0,0,0,0.82,13.13,0,0,0,0,0
 36-46,0,0,0,0,23.36,0,15.31,0,0,0,0,0,0,0,3.22,0,0,0,0,4.83,0,0,2.42,45.12,0,0.81,0,0,0,0,0,0,0,0,7.25,0,0.81,0.81,0.81,0
 48-58,0,0,0,0,81.48,0,18.36,0,0,0,4.02,0,0,0,1.72,0,0,0,1.15,5.16,0,0,0.57,26.97,0.57,0.57,0.57,0,0,0,0,0,0.57,0,1.72,0,0,0.57,0,0
 60-70,0,0,0,3.93,154.1,0,24.54,0.98,0,0,2.94,0,0,0,5.89,0,0.98,0,0,4.91,0,0.98,0.98,16.69,0,0,0,0,0,0,0,0,0,0,2.94,0.98,0,0,0,0
 72-82,0,0,0,0.98,254.25,0.98,50.06,1.96,0,0,13.74,0.98,0,0,3.93,0.98,0.98,0,0,24.54,0,0,0.98,65.77,0,0,1.96,0,0,2.94,0,0,0,0,4.91,1.96,1.96,2.94,4.91,0
 84-94,0,0,0,4.25,215.59,0,24.43,0,1.06,1.06,6.37,1.06,0,0,5.31,0,0,1.06,1.06,16.99,0,4.25,2.12,39.3,0,0,1.06,0,0,9.56,0,0,0,0,5.31,0,0,3.19,4.25,0
 96-106,0,0,0,7.65,347.53,3.28,33.88,1.09,0,1.09,9.84,2.19,0,2.19,6.56,1.09,1.09,1.09,0,32.79,0,2.19,4.37,65.57,0,2.19,0,0,0,12.02,0,0,2.19,0,2.19,0,0,5.46,2.19,2.19
108-118,0,0,0,8.43,362.3,0.77,21.45,3.06,0.77,0.77,5.36,1.53,0,1.53,3.83,0.77,0,1.53,0,13.02,0,0.77,5.36,55.92,0.77,0,0.77,0,1.53,6.89,0,0,0,0,3.06,1.53,3.83,7.66,4.6,1.53
120,0,0,0,13.72,564.42,0,25.48,3.92,3.92,1.96,9.8,0,0,0,7.84,1.96,0,1.96,0,39.2,1.96,0,7.84,109.75,5.88,0,1.96,0,0,7.84,0,0,0,0,0,0,3.92,11.76,0,0
