stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,118.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,85.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.32,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,13,4,0,0,0,0,0,0,2,0,2,0,0,0,0,1,0,0,0,1,10,1,0,1,1,0,5,0,0,1,6,0,0,1,0,0
 24-34,0,0,0,0,12.31,1.64,0,4.1,0,1.64,0,0,0.82,0,5.75,1.64,0,0,0,0.82,9.85,0,0,3.28,17.24,0.82,1.64,1.64,0,0,21.34,3.28,0,0.82,5.75,0,0,3.28,0,1.64
 36-46,0,0,0,0,4.03,0,0,3.22,0,0,0.81,2.42,0,0,0,3.22,0,0.81,0.81,0.81,8.06,0.81,0.81,4.83,22.56,0,0.81,0,0,0,18.53,0,0.81,0,5.64,0,0,4.83,0,0.81
 48-58,0,0,0,0,3.44,0,0,4.59,0,1.15,0.57,4.02,0,0.57,4.02,0.57,0,0.57,0,0,10.9,0.57,0,1.72,5.74,0,0.57,0,0,0,10.9,1.15,0.57,0,3.44,0,0,4.02,0,2.87
 60-70,0,0,0,0,8.83,0,0,9.82,0,1.96,0.98,15.7,0,0,5.89,1.96,1.96,1.96,0,0.98,21.59,0.98,0,1.96,20.61,0,0,1.96,0,0,12.76,0.98,0.98,0,0.98,0,0,3.93,0,4.91
 72-82,0,0,0.98,0.98,6.87,0,0.98,9.82,0,1.96,0.98,17.67,1.96,0.98,13.74,2.94,0.98,1.96,0.98,0.98,26.5,0,2.94,0.98,21.6,0,0.98,0.98,0,1.96,9.82,2.94,0,0,0.98,0,0,9.82,2.94,0.98
 84-94,1.06,0,1.06,0,11.68,6.37,0,11.68,1.06,6.37,0,11.68,8.5,1.06,22.3,9.56,0,1.06,0,2.12,22.3,1.06,2.12,0,9.56,1.06,0,3.19,0,2.12,21.24,5.31,1.06,0,1.06,0,1.06,7.43,1.06,0
 96-106,0,0,0,0,7.65,1.09,0,7.65,0,3.28,1.09,12.02,7.65,2.19,15.3,2.19,0,2.19,1.09,0,22.95,0,2.19,0,8.74,1.09,2.19,3.28,0,2.19,28.41,1.09,0,0,0,1.09,0,7.65,2.19,0
108-118,0,0,0,0,7.66,0,0.77,4.6,0,3.06,0.77,13.79,3.83,0,14.55,2.3,1.53,2.3,1.53,0.77,15.32,1.53,1.53,0.77,6.89,0,1.53,2.3,0,0.77,9.96,0.77,0.77,0,0,0.77,0,6.89,0.77,0
120,0,0,0,0,13.72,0,0,11.76,0,0,1.96,27.44,11.76,0,29.4,3.92,5.88,5.88,1.96,1.96,11.76,0,3.92,5.88,21.56,0,0,1.96,0,0,23.52,0,1.96,0,0,0,1.96,9.8,3.92,0
