stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,hatching.gland,heart,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,118.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,55.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,21.03,0,0,0,18.4,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,31.47,0,0,0,15.73,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,2,12,0,0,0,1,0,1,0,3,4,0,0,0,0
 24-34,0,0,0,3.28,0,1.64,0,0,0,0.82,0,0,0,0,0.82,1.64,0,0,1.64,24.63,0.82,0.82,0,0,1.64,0,0,0.82,4.93,0,1.64,0,0
 36-46,0,0,0,0.81,0,4.83,0,0,0.81,0.81,0,0,0,0,0,2.42,0,0,0.81,37.87,0,0.81,0,0,2.42,0,0,0,8.06,0,0,0,0
 48-58,0,0,0.57,0,0,6.31,0,0,0,0.57,0,0,0,0.57,0,5.16,0,0.57,1.15,49.92,0,0,1.15,0,1.15,0,0,0,12.05,0,0,0,0
 60-70,0,0,0,0,0,24.54,0,0.98,0,4.91,0,0,0,0,0,1.96,0,0.98,0.98,102.08,0,0,0,0,0.98,0,0,0,12.76,0.98,0.98,0,0
 72-82,0,0,0.98,0,0,24.54,0,0,0.98,3.93,0,0.98,0,1.96,0,9.82,0.98,0.98,1.96,53.99,0,0,0,0,0,0,0,0,1.96,0,0,0,0.98
 84-94,0,0,0,1.06,1.06,10.62,0,0,1.06,3.19,0,0,0,0,0,7.43,0,0,1.06,16.99,0,0,1.06,0,5.31,0,0,0,3.19,0,0,0,0
 96-106,0,0,0,1.09,1.09,8.74,0,0,0,3.28,0,0,0,0,0,7.65,0,0,0,26.23,0,0,0,0,7.65,0,0,0,2.19,0,0,1.09,0
108-118,0,0,0,0.77,1.53,5.36,0.77,0.77,0.77,1.53,0,0,0.77,0,0,6.89,0,0,3.06,15.32,0,0.77,0,0,1.53,0,0,0,0,0,0.77,0,0
120,0,0,0,3.92,0,9.8,0,0,0,0,0,0,0,0,1.96,9.8,1.96,1.96,0,19.6,0,0,0,0,1.96,0,1.96,0,0,0,0,0,0
