stage,axial,blastomeres,endoderm,eye,fast_muscle,hatching_gland,immune,neural,notochord,paraxial_mesoderm,vasculature
  3-4,0,39.53,0,0,0,0,0,0,0,0,0
  5-6,12.26,30.65,0,0,0,0,0,12.26,6.13,6.13,0
  7-9,5.26,2.63,15.77,0,0,10.51,0,5.26,0,52.57,0
 10-12,0,0,0,0,0,3.15,0,6.29,0,12.59,0
 14-21,0,0,0,0,0,0,0,0,0,1,0
 24-34,0,0,0,0,0,0,0.82,0.82,0,0,0
 48-58,0,0,0,0,0,0,2.87,1.15,0,0,0.57
 60-70,0,0,0,0,0,0,7.85,0,0,0,0
 72-82,0,0,0,0,0.98,0,10.8,0,0,0,0
 84-94,0,0,0,1.06,0,0,18.05,0,0,0,0
 96-106,0,0,0,0,0,0,29.51,0,0,0,1.09
108-118,0,0,0,0.77,0,0,22.21,0,0,0,0.77
120,0,0,0,0,0,0,9.8,0,0,0,0
