stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,513.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,545.54,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,12.26,0,12.26,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.89,10.51,0,2.63,0,0,0,26.29,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,276.01,18.4,0,0,118.29,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,9.44,0,9.44,0,0,0,31.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173.08,0,0,0,91.26,0,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,1,0,0,2,47,3,0,9,0,0,0,6,3,0,1,0,1,0,0,0,16,0,0,13,210,2,3,3,4,0,2,0,22,0,2,16,72,0,0,0,0,0
 24-34,0,0,0,2.46,8.21,0.82,0,39.4,0,0,0.82,5.75,6.57,0,0,0,2.46,0,0.82,0.82,37.76,0,0,15.6,353.79,0,2.46,3.28,0,0,15.6,0,0,0.82,0,2.46,73.88,0,0,0.82,0,0
 36-46,0,0,0,0,3.22,0,0,63.65,0,0,0.81,4.83,0.81,0,0,0,0,0,0,0.81,29,0,2.42,4.03,178.86,0,3.22,1.61,0,0,9.67,0,0,0,0,0,44.31,0,0,4.83,0,0
 48-58,0,0,0,0,5.74,0,0,54.51,0,0.57,0.57,12.05,0.57,0,0,0,0.57,0,0,0.57,17.79,0.57,0.57,3.44,82.05,0,1.15,0.57,0,0,4.59,0,0,0,0,0,21.8,0,0,1.15,0,1.15
 60-70,0,0,0,0,4.91,0,0,56.93,0.98,0.98,0,14.72,0.98,0,1.96,0,0,0,0,0.98,18.65,0,0,0.98,55.95,0,0,0,0,0,5.89,0,0,0,0,0,1.96,0.98,0,2.94,0,0
 72-82,0,0,0.98,0,4.91,0,0,12.76,0,0,2.94,4.91,0.98,0,0,0.98,0,0,0,0,8.83,0,0,2.94,28.47,0,0,0,0,0.98,1.96,0,0,0,0,0,4.91,0,0.98,0,0,0
 84-94,0,0,0,0,5.31,0,1.06,12.74,0,0,0,8.5,0,0,0,4.25,0,0,0,0,20.18,0,0,2.12,25.49,0,1.06,2.12,0,0,8.5,0,0,0,0,0,1.06,0,0,0,1.06,0
 96-106,0,0,0,0,0,0,0,8.74,0,0,0,7.65,2.19,0,0,3.28,0,0,0,0,12.02,0,0,1.09,17.49,0,1.09,3.28,0,1.09,8.74,0,0,0,0,0,1.09,0,0,0,0,0
108-118,0,0,0.77,0,1.53,0,0,2.3,0,0,0.77,3.06,0.77,0,0,1.53,0.77,0,0.77,1.53,5.36,0,1.53,1.53,22.21,0,0,0,0,0,0.77,0,0,0,0.77,0,0.77,0,0.77,1.53,0,0
120,0,0,0,0,3.92,1.96,0,9.8,0,0,0,3.92,0,0,0,1.96,0,1.96,1.96,0,9.8,0,0,1.96,17.64,0,0,0,0,0,7.84,0,0,0,0,0,0,0,0,1.96,0,0
