stage,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,1,1,0,1,0,0,0,2,0,0,1,0,0,0,0,3,0,0,0,11,0,2,0,0,2,1,0,2,6,0,0,0,0,0
 24-34,0,0.82,0,0.82,0,0.82,0,1.64,0,0,0,0,0,0,0,0.82,0,0,0.82,38.58,0,4.1,0,0,0.82,0.82,0,0,10.67,0,0,0,0,0
 36-46,0,0.81,0,7.25,0,0.81,0,0.81,0,0.81,0,0.81,0.81,0,0,4.03,0,0,0,66.06,0,3.22,0.81,0,4.83,0,0.81,0,12.89,0,0,0,0,0
 48-58,0,1.15,0.57,12.62,0.57,0,0,1.72,0,0,1.15,0,0,0,0,4.02,0,0,0,71.15,1.15,2.3,0.57,0,0.57,0.57,0,0,13.77,0,0,0.57,0,0.57
 60-70,0,0,0,27.48,0,0,0,3.93,0.98,0,9.82,0,0,0,0,7.85,0.98,0,0.98,132.51,0,1.96,0,0,1.96,0,0,0,17.67,0,0,0.98,0,0
 72-82,0,0.98,1.96,28.47,0,0.98,0.98,7.85,0.98,0,1.96,0,0.98,0.98,0,11.78,0,0,2.94,106.02,0.98,5.89,1.96,0.98,5.89,0,0.98,0,5.89,0.98,1.96,1.96,1.96,0
 84-94,0,2.12,4.25,18.05,0,1.06,0,6.37,2.12,0,4.25,0,1.06,0,2.12,10.62,0,1.06,0,50.98,0,3.19,2.12,0,8.5,0,0,0,3.19,0,0,3.19,2.12,1.06
 96-106,0,0,1.09,20.76,0,0,0,3.28,1.09,0,13.11,0,0,1.09,0,13.11,0,1.09,1.09,41.53,0,4.37,3.28,0,7.65,1.09,0,0,2.19,1.09,0,1.09,1.09,1.09
108-118,0,5.36,3.06,15.32,0,1.53,0,3.83,0.77,0,9.19,0,0,1.53,1.53,7.66,0.77,0.77,0,48.26,0,4.6,2.3,0,4.6,0.77,0.77,0,2.3,0.77,0,0.77,3.83,1.53
120,0,7.84,0,11.76,0,3.92,1.96,3.92,3.92,0,11.76,0,0,0,0,3.92,0,0,0,47.03,1.96,1.96,3.92,0,15.68,0,0,0,3.92,0,0,1.96,0,0
